species,antibiotic,count
Enterococcus_Faecalis,Linezolid,4244
Enterococcus_Faecalis,Imipenem,4100
Enterococcus_Faecalis,Levofloxacin,4079
Enterococcus_Faecalis,Teicoplanin,4066
Staphylococcus_Aureus,Cefepime,3986
Staphylococcus_Aureus,Tigecycline,3985
Pseudomonas_Aeruginosa,Levofloxacin,3866
Enterococcus_Faecalis,Ampicillin,3837
Klebsiella_Pneumoniae,Ampicillin,3720
Pseudomonas_Aeruginosa,Piperacillin-Tazobactam,3651
Staphylococcus_Aureus,Meropenem,3643
Staphylococcus_Aureus,Piperacillin-Tazobactam,3642
Staphylococcus_Aureus,Ceftriaxone,3640
Staphylococcus_Aureus,Cefazolin,3640
Staphylococcus_Aureus,Cefuroxime,3640
Klebsiella_Pneumoniae,Cefoxitin,3463
Enterococcus_Faecalis,Nitrofurantoin,3394
Klebsiella_Pneumoniae,Ceftriaxone,3385
Klebsiella_Pneumoniae,Amoxicillin-Clavulanic acid,3357
Enterococcus_Faecalis,Gentamicin,3352
Enterococcus_Faecalis,Clindamycin,3311
Enterococcus_Faecalis,Ciprofloxacin,3310
Klebsiella_Pneumoniae,Cotrimoxazole,3220
Enterococcus_Faecalis,Daptomycin,3196
Enterococcus_Faecalis,Penicillin,3143
Enterococcus_Faecalis,Erythromycin,3136
Enterococcus_Faecalis,Tobramycin,3135
Enterococcus_Faecalis,Tetracycline,3133
Enterococcus_Faecalis,Pristinamycin,3133
Enterococcus_Faecalis,Minocycline,3129
Klebsiella_Pneumoniae,Piperacillin-Tazobactam,3094
Klebsiella_Pneumoniae,Minocycline,3012
Klebsiella_Pneumoniae,Ticarcillin,2850
Enterococcus_Faecalis,Fosfomycin,2828
Enterococcus_Faecalis,Norfloxacin,2814
Escherichia_Coli,Cefuroxime,2689
Escherichia_Coli,Gentamicin,2689
Escherichia_Coli,Ampicillin,2654
Escherichia_Coli,Nitrofurantoin,2491
Escherichia_Coli,Norfloxacin,2454
Staphylococcus_Aureus,Ampicillin,2421
Klebsiella_Pneumoniae,Tigecycline,2395
Proteus_Mirabilis,Ciprofloxacin,2367
Proteus_Mirabilis,Ceftazidime,2363
Escherichia_Coli,Fosfomycin,2270
Pseudomonas_Aeruginosa,Aztreonam,2255
Proteus_Mirabilis,Cefepime,2250
Proteus_Mirabilis,Amikacin,2237
Enterococcus_Faecium,Vancomycin,2220
Enterococcus_Faecium,Linezolid,2158
Proteus_Mirabilis,Meropenem,2153
Proteus_Mirabilis,Ertapenem,2152
Enterococcus_Faecium,Levofloxacin,2080
Escherichia_Coli,Cefpodoxime,2075
Enterococcus_Faecium,Teicoplanin,2070
Proteus_Mirabilis,Colistin,2062
Proteus_Mirabilis,Tobramycin,2058
Proteus_Mirabilis,Imipenem,2058
Proteus_Mirabilis,Levofloxacin,2057
Staphylococcus_Aureus,Fosfomycin,2042
Staphylococcus_Aureus,Levofloxacin,2039
Pseudomonas_Aeruginosa,Ampicillin,1917
Pseudomonas_Aeruginosa,Cefuroxime,1917
Klebsiella_Pneumoniae,Cefpodoxime,1826
Staphylococcus_Aureus,Chloramphenicol,1714
Staphylococcus_Aureus,Minocycline,1696
Staphylococcus_Aureus,Pristinamycin,1695
Staphylococcus_Aureus,Tobramycin,1683
Staphylococcus_Aureus,Amikacin,1683
Enterobacter_Cloacae,Ciprofloxacin,1600
Escherichia_Coli,Aztreonam,1595
Escherichia_Coli,Tigecycline,1587
Escherichia_Coli,Cefotaxime,1585
Enterobacter_Cloacae,Ceftazidime,1568
Pseudomonas_Aeruginosa,Ertapenem,1562
Pseudomonas_Aeruginosa,Cefotaxime,1560
Pseudomonas_Aeruginosa,Cefoxitin,1560
Pseudomonas_Aeruginosa,Chloramphenicol,1560
Escherichia_Coli,Piperacillin,1557
Escherichia_Coli,Cefixime,1545
Enterobacter_Cloacae,Imipenem,1541
Enterobacter_Cloacae,Amikacin,1535
Escherichia_Coli,Ticarcillin,1520
Enterobacter_Cloacae,Cefepime,1519
Pseudomonas_Aeruginosa,Fosfomycin,1511
Proteus_Mirabilis,Norfloxacin,1503
Enterobacter_Cloacae,Amoxicillin-Clavulanic acid,1499
Pseudomonas_Aeruginosa,Ticarcillin,1491
Enterobacter_Cloacae,Ceftriaxone,1488
Enterococcus_Faecalis,Amikacin,1465
Proteus_Mirabilis,Ampicillin,1456
Proteus_Mirabilis,Gentamicin,1452
Proteus_Mirabilis,Cefuroxime,1449
Enterobacter_Cloacae,Cotrimoxazole,1427
Enterobacter_Cloacae,Meropenem,1416
Enterobacter_Cloacae,Ertapenem,1413
Enterobacter_Cloacae,Piperacillin-Tazobactam,1405
Proteus_Mirabilis,Nitrofurantoin,1370
Proteus_Mirabilis,Fosfomycin,1368
Enterobacter_Cloacae,Colistin,1354
Enterobacter_Cloacae,Tobramycin,1354
Enterobacter_Cloacae,Levofloxacin,1352
Escherichia_Coli,Chloramphenicol,1281
Enterococcus_Faecium,Imipenem,1277
Serratia_Marcescens,Ciprofloxacin,1247
Serratia_Marcescens,Ceftazidime,1246
Klebsiella_Oxytoca,Ciprofloxacin,1233
Klebsiella_Oxytoca,Ceftazidime,1227
Serratia_Marcescens,Cefepime,1223
Proteus_Mirabilis,Ceftriaxone,1220
Serratia_Marcescens,Amikacin,1219
Proteus_Mirabilis,Amoxicillin-Clavulanic acid,1218
Serratia_Marcescens,Imipenem,1217
Klebsiella_Oxytoca,Imipenem,1185
Klebsiella_Oxytoca,Cefepime,1184
Klebsiella_Oxytoca,Amikacin,1183
Staphylococcus_Epidermidis,Teicoplanin,1183
Enterococcus_Faecium,Tigecycline,1170
Enterococcus_Faecium,Daptomycin,1163
Serratia_Marcescens,Ertapenem,1162
Serratia_Marcescens,Meropenem,1160
Proteus_Mirabilis,Aztreonam,1151
Proteus_Mirabilis,Cefotaxime,1151
Proteus_Mirabilis,Cefixime,1149
Proteus_Mirabilis,Piperacillin,1148
Serratia_Marcescens,Colistin,1148
Proteus_Mirabilis,Ticarcillin,1147
Serratia_Marcescens,Levofloxacin,1144
Serratia_Marcescens,Tobramycin,1141
Proteus_Mirabilis,Cotrimoxazole,1135
Proteus_Mirabilis,Piperacillin-Tazobactam,1101
Klebsiella_Oxytoca,Meropenem,1101
Klebsiella_Oxytoca,Ertapenem,1099
Proteus_Mirabilis,Tigecycline,1081
Klebsiella_Oxytoca,Tobramycin,1056
Klebsiella_Oxytoca,Levofloxacin,1054
Klebsiella_Oxytoca,Colistin,1054
Enterococcus_Faecium,Ampicillin,1036
Enterococcus_Faecium,Gentamicin,1022
Serratia_Marcescens,Ceftriaxone,964
Serratia_Marcescens,Amoxicillin-Clavulanic acid,963
Staphylococcus_Epidermidis,Mupirocin,956
Enterococcus_Faecium,Ciprofloxacin,944
Serratia_Marcescens,Cotrimoxazole,943
Serratia_Marcescens,Piperacillin-Tazobactam,939
Enterococcus_Faecalis,Tigecycline,936
Escherichia_Coli,Polymyxin B,927
Enterococcus_Faecium,Penicillin,904
Enterococcus_Faecium,Tetracycline,903
Enterococcus_Faecium,Erythromycin,903
Enterococcus_Faecium,Tobramycin,902
Enterococcus_Faecium,Pristinamycin,902
Enterococcus_Faecium,Minocycline,899
Staphylococcus_Epidermidis,Fosfomycin,898
Klebsiella_Oxytoca,Ceftriaxone,892
Klebsiella_Oxytoca,Amoxicillin-Clavulanic acid,891
Staphylococcus_Epidermidis,Levofloxacin,883
Citrobacter_Koseri,Ceftazidime,851
Citrobacter_Koseri,Ciprofloxacin,849
Klebsiella_Oxytoca,Cotrimoxazole,844
Klebsiella_Oxytoca,Piperacillin-Tazobactam,821
Morganella_Morganii,Ciprofloxacin,812
Morganella_Morganii,Ceftazidime,809
Citrobacter_Koseri,Cefepime,799
Citrobacter_Koseri,Imipenem,799
Citrobacter_Koseri,Amikacin,798
Staphylococcus_Hominis,Vancomycin,776
Enterococcus_Faecium,Nitrofurantoin,776
Morganella_Morganii,Cefepime,772
Staphylococcus_Hominis,Daptomycin,768
Morganella_Morganii,Amikacin,766
Staphylococcus_Hominis,Linezolid,765
Staphylococcus_Hominis,Ciprofloxacin,759
Staphylococcus_Hominis,Rifampicin,758
Staphylococcus_Hominis,Clindamycin,743
Staphylococcus_Hominis,Gentamicin,742
Staphylococcus_Hominis,Oxacillin,741
Staphylococcus_Hominis,Erythromycin,740
Staphylococcus_Hominis,Fusidic acid,739
Staphylococcus_Hominis,Tigecycline,738
Citrobacter_Koseri,Ertapenem,732
Citrobacter_Koseri,Meropenem,731
Staphylococcus_Hominis,Tetracycline,720
Morganella_Morganii,Ertapenem,720
Staphylococcus_Hominis,Penicillin,719
Morganella_Morganii,Imipenem,715
Staphylococcus_Hominis,Cotrimoxazole,710
Staphylococcus_Hominis,Amoxicillin-Clavulanic acid,706
Enterococcus_Faecalis,Amoxicillin-Clavulanic acid,704
Staphylococcus_Hominis,Cefepime,703
Enterococcus_Faecalis,Piperacillin-Tazobactam,701
Morganella_Morganii,Meropenem,698
Staphylococcus_Epidermidis,Minocycline,693
Citrobacter_Koseri,Tobramycin,692
Citrobacter_Koseri,Colistin,692
Citrobacter_Koseri,Levofloxacin,690
Staphylococcus_Hominis,Imipenem,686
Staphylococcus_Epidermidis,Chloramphenicol,685
Morganella_Morganii,Tobramycin,685
Morganella_Morganii,Colistin,685
Morganella_Morganii,Levofloxacin,684
Staphylococcus_Epidermidis,Ampicillin,679
Staphylococcus_Hominis,Piperacillin-Tazobactam,668
Staphylococcus_Epidermidis,Pristinamycin,668
Staphylococcus_Hominis,Cefuroxime,668
Staphylococcus_Hominis,Meropenem,668
Staphylococcus_Hominis,Cefazolin,668
Staphylococcus_Hominis,Ceftriaxone,668
Klebsiella_Variicola,Imipenem,664
Klebsiella_Variicola,Cefepime,664
Klebsiella_Variicola,Ciprofloxacin,664
Klebsiella_Variicola,Ceftazidime,664
Klebsiella_Variicola,Ertapenem,664
Klebsiella_Variicola,Amikacin,662
Klebsiella_Variicola,Meropenem,662
Staphylococcus_Aureus,Clarithromycin,651
Staphylococcus_Aureus,Doxycycline,650
Citrobacter_Freundii,Ciprofloxacin,644
Staphylococcus_Epidermidis,Amikacin,643
Staphylococcus_Epidermidis,Tobramycin,641
Enterobacter_Cloacae,Norfloxacin,629
Citrobacter_Koseri,Ceftriaxone,628
Enterococcus_Faecium,Fosfomycin,627
Citrobacter_Freundii,Ceftazidime,625
Citrobacter_Freundii,Cefepime,622
Klebsiella_Variicola,Colistin,621
Klebsiella_Variicola,Tobramycin,621
Klebsiella_Variicola,Levofloxacin,621
Klebsiella_Oxytoca,Norfloxacin,619
Citrobacter_Koseri,Amoxicillin-Clavulanic acid,617
Klebsiella_Pneumoniae,Chloramphenicol,617
Citrobacter_Freundii,Imipenem,613
Citrobacter_Freundii,Amikacin,612
Klebsiella_Variicola,Ceftriaxone,602
Klebsiella_Variicola,Amoxicillin-Clavulanic acid,596
Klebsiella_Variicola,Piperacillin-Tazobactam,592
Citrobacter_Freundii,Ertapenem,591
Citrobacter_Koseri,Cotrimoxazole,586
Citrobacter_Freundii,Meropenem,574
Citrobacter_Freundii,Colistin,571
Citrobacter_Freundii,Tobramycin,561
Klebsiella_Variicola,Cotrimoxazole,559
Citrobacter_Freundii,Levofloxacin,558
Citrobacter_Koseri,Piperacillin-Tazobactam,558
Pseudomonas_Aeruginosa,Gentamicin,552
Enterococcus_Faecium,Norfloxacin,538
Citrobacter_Koseri,Norfloxacin,537
Enterococcus_Faecalis,Oxacillin,532
Enterococcus_Faecalis,Mupirocin,531
Klebsiella_Oxytoca,Gentamicin,523
Klebsiella_Oxytoca,Cefuroxime,522
Klebsiella_Oxytoca,Ampicillin,522
Citrobacter_Freundii,Ceftriaxone,476
Staphylococcus_Lugdunensis,Ciprofloxacin,474
Staphylococcus_Lugdunensis,Oxacillin,473
Morganella_Morganii,Amoxicillin-Clavulanic acid,473
Morganella_Morganii,Ceftriaxone,471
Proteus_Mirabilis,Cefpodoxime,470
Staphylococcus_Lugdunensis,Vancomycin,470
Campylobacter_Jejuni,Ciprofloxacin,467
Campylobacter_Jejuni,Erythromycin,467
Morganella_Morganii,Gentamicin,464
Citrobacter_Freundii,Amoxicillin-Clavulanic acid,464
Morganella_Morganii,Ampicillin,464
Staphylococcus_Lugdunensis,Clindamycin,463
Citrobacter_Freundii,Cotrimoxazole,463
Staphylococcus_Lugdunensis,Gentamicin,460
Enterobacter_Cloacae,Cefpodoxime,450
Streptococcus_Pneumoniae,Clarithromycin,446
Klebsiella_Variicola,Norfloxacin,445
Citrobacter_Freundii,Piperacillin-Tazobactam,442
Staphylococcus_Lugdunensis,Penicillin,441
Stenotrophomonas_Maltophilia,Cotrimoxazole,441
Morganella_Morganii,Cotrimoxazole,441
Klebsiella_Oxytoca,Fosfomycin,438
Proteus_Vulgaris,Ciprofloxacin,435
Proteus_Vulgaris,Ceftazidime,434
Morganella_Morganii,Piperacillin-Tazobactam,427
Haemophilus_Influenzae,Penicillin,425
Morganella_Morganii,Nitrofurantoin,417
Staphylococcus_Capitis,Ciprofloxacin,415
Staphylococcus_Capitis,Vancomycin,415
Staphylococcus_Capitis,Oxacillin,415
Morganella_Morganii,Fosfomycin,412
Staphylococcus_Lugdunensis,Fusidic acid,411
Staphylococcus_Capitis,Daptomycin,409
Staphylococcus_Lugdunensis,Daptomycin,407
Haemophilus_Influenzae,Cefuroxime,407
Proteus_Vulgaris,Amoxicillin-Clavulanic acid,406
Proteus_Vulgaris,Ceftriaxone,406
Staphylococcus_Lugdunensis,Rifampicin,399
Haemophilus_Influenzae,Ampicillin,397
Streptococcus_Pneumoniae,Levofloxacin,396
Staphylococcus_Capitis,Rifampicin,395
Staphylococcus_Capitis,Fusidic acid,395
Morganella_Morganii,Norfloxacin,394
Staphylococcus_Lugdunensis,Erythromycin,394
Staphylococcus_Lugdunensis,Teicoplanin,394
Proteus_Vulgaris,Amikacin,393
Staphylococcus_Lugdunensis,Linezolid,393
Staphylococcus_Lugdunensis,Tetracycline,393
Proteus_Vulgaris,Cefepime,392
Staphylococcus_Lugdunensis,Amoxicillin-Clavulanic acid,390
Proteus_Vulgaris,Cotrimoxazole,389
Serratia_Marcescens,Cefuroxime,389
Serratia_Marcescens,Gentamicin,389
Serratia_Marcescens,Ampicillin,389
Citrobacter_Koseri,Ampicillin,382
Citrobacter_Koseri,Gentamicin,382
Staphylococcus_Lugdunensis,Cotrimoxazole,378
Staphylococcus_Capitis,Erythromycin,374
Staphylococcus_Lugdunensis,Imipenem,369
Staphylococcus_Capitis,Gentamicin,369
Staphylococcus_Capitis,Clindamycin,368
Staphylococcus_Capitis,Cotrimoxazole,368
Proteus_Vulgaris,Ertapenem,367
Staphylococcus_Capitis,Teicoplanin,366
Klebsiella_Pneumoniae,Polymyxin B,366
Staphylococcus_Epidermidis,Moxifloxacin,366
Proteus_Vulgaris,Meropenem,366
Enterococcus_Faecium,Chloramphenicol,365
Staphylococcus_Capitis,Linezolid,365
Staphylococcus_Capitis,Tetracycline,364
Enterococcus_Faecalis,Cotrimoxazole,364
Pseudomonas_Aeruginosa,Ceftriaxone,363
Pseudomonas_Aeruginosa,Cotrimoxazole,363
Pseudomonas_Aeruginosa,Amoxicillin-Clavulanic acid,362
Proteus_Vulgaris,Piperacillin-Tazobactam,362
Pseudomonas_Aeruginosa,Polymyxin B,357
Klebsiella_Variicola,Cefpodoxime,354
Haemophilus_Influenzae,Levofloxacin,353
Staphylococcus_Capitis,Amoxicillin-Clavulanic acid,352
Proteus_Vulgaris,Levofloxacin,349
Proteus_Vulgaris,Colistin,349
Proteus_Vulgaris,Tobramycin,349
Staphylococcus_Capitis,Tigecycline,349
Citrobacter_Freundii,Norfloxacin,348
Staphylococcus_Capitis,Cefepime,348
Staphylococcus_Aureus,Benzylpenicillin,348
Staphylococcus_Aureus,Cotrimoxazol,345
Enterococcus_Faecalis,Chloramphenicol,344
Klebsiella_Oxytoca,Cefotaxime,344
Klebsiella_Oxytoca,Aztreonam,344
Klebsiella_Oxytoca,Cefixime,343
Klebsiella_Oxytoca,Ticarcillin,343
Staphylococcus_Capitis,Imipenem,342
Morganella_Morganii,Ticarcillin,340
Morganella_Morganii,Aztreonam,339
Enterobacter_Cloacae,Gentamicin,336
Enterobacter_Cloacae,Ampicillin,336
Staphylococcus_Aureus,Norfloxacin,331
Klebsiella_Oxytoca,Piperacillin,331
Haemophilus_Influenzae,Cefotaxime,330
Serratia_Marcescens,Nitrofurantoin,330
Serratia_Marcescens,Fosfomycin,329
Klebsiella_Oxytoca,Cefpodoxime,328
Klebsiella_Oxytoca,Tigecycline,326
Staphylococcus_Capitis,Penicillin,323
Staphylococcus_Lugdunensis,Cefepime,323
Staphylococcus_Lugdunensis,Tigecycline,323
Staphylococcus_Capitis,Cefazolin,322
Staphylococcus_Capitis,Cefuroxime,322
Staphylococcus_Capitis,Ceftriaxone,322
Staphylococcus_Capitis,Piperacillin-Tazobactam,322
Staphylococcus_Capitis,Meropenem,322
Enterococcus_Faecalis,Gentamicin_high_level,318
Citrobacter_Koseri,Fosfomycin,317
Enterococcus_Faecium,Amikacin,315
Candida_Albicans,Caspofungin,315
Proteus_Vulgaris,Imipenem,314
Enterococcus_Faecium,Gentamicin_high_level,314
Candida_Albicans,Voriconazole,309
Candida_Albicans,Micafungin,307
Candida_Albicans,Amphotericin B,307
Candida_Albicans,Fluconazole,306
Candida_Albicans,Anidulafungin,304
Serratia_Marcescens,Cefoxitin,302
Staphylococcus_Aureus,Moxifloxacin,300
Pseudomonas_Aeruginosa,Norfloxacin,299
Staphylococcus_Lugdunensis,Ceftriaxone,298
Staphylococcus_Lugdunensis,Meropenem,298
Staphylococcus_Lugdunensis,Cefuroxime,298
Staphylococcus_Lugdunensis,Piperacillin-Tazobactam,298
Staphylococcus_Lugdunensis,Cefazolin,298
Candida_Albicans,5-Fluorocytosine,298
Proteus_Mirabilis,Chloramphenicol,298
Staphylococcus_Haemolyticus,Vancomycin,295
Staphylococcus_Haemolyticus,Ciprofloxacin,295
Klebsiella_Oxytoca,Nitrofurantoin,293
Candida_Albicans,Posaconazole,292
Staphylococcus_Haemolyticus,Daptomycin,291
Staphylococcus_Haemolyticus,Oxacillin,290
Staphylococcus_Haemolyticus,Teicoplanin,287
Staphylococcus_Haemolyticus,Erythromycin,287
Staphylococcus_Haemolyticus,Linezolid,286
Stenotrophomonas_Maltophilia,Levofloxacin,285
Serratia_Marcescens,Aztreonam,285
Staphylococcus_Haemolyticus,Tetracycline,285
Candida_Albicans,Itraconazole,283
Staphylococcus_Haemolyticus,Clindamycin,283
Citrobacter_Koseri,Cefpodoxime,281
Staphylococcus_Haemolyticus,Gentamicin,278
Staphylococcus_Haemolyticus,Fusidic acid,265
Morganella_Morganii,Piperacillin,262
Morganella_Morganii,Cefotaxime,261
Staphylococcus_Haemolyticus,Penicillin,260
Streptococcus_Pneumoniae,Oxacillin,260
Staphylococcus_Haemolyticus,Rifampicin,259
Staphylococcus_Haemolyticus,Imipenem,258
Escherichia_Coli,Cefoxitin,257
Streptococcus_Pneumoniae,Penicillin_with_pneumonia,256
Streptococcus_Pneumoniae,Penicillin_with_other_infections,256
Streptococcus_Pneumoniae,Penicillin_with_meningitis,255
Staphylococcus_Haemolyticus,Tigecycline,255
Staphylococcus_Haemolyticus,Amoxicillin-Clavulanic acid,253
Morganella_Morganii,Cefixime,253
Staphylococcus_Haemolyticus,Cefepime,252
Enterobacter_Cloacae,Fosfomycin,245
Enterobacter_Cloacae,Cefuroxime,243
Pseudomonas_Aeruginosa,Piperacillin,242
Citrobacter_Freundii,Gentamicin,238
Citrobacter_Freundii,Ampicillin,238
Streptococcus_Pneumoniae,Ceftriaxone,236
Serratia_Marcescens,Norfloxacin,233
Staphylococcus_Haemolyticus,Cotrimoxazole,231
Stenotrophomonas_Maltophilia,Ceftazidime,229
Serratia_Marcescens,Piperacillin,229
Serratia_Marcescens,Cefotaxime,227
Staphylococcus_Haemolyticus,Piperacillin-Tazobactam,225
Citrobacter_Koseri,Tigecycline,225
Staphylococcus_Haemolyticus,Ceftriaxone,225
Staphylococcus_Haemolyticus,Cefazolin,225
Staphylococcus_Haemolyticus,Cefuroxime,225
Staphylococcus_Haemolyticus,Meropenem,225
Streptococcus_Pneumoniae,Vancomycin,224
Citrobacter_Koseri,Cefotaxime,223
Citrobacter_Koseri,Aztreonam,223
Serratia_Marcescens,Ticarcillin,222
Serratia_Marcescens,Cefixime,222
Citrobacter_Koseri,Cefixime,221
Citrobacter_Koseri,Ticarcillin,221
Proteus_Mirabilis,Polymyxin B,220
Staphylococcus_Epidermidis,Benzylpenicillin,220
Staphylococcus_Epidermidis,Cotrimoxazol,218
Escherichia_Coli,Cotrimoxazol,213
Citrobacter_Freundii,Fosfomycin,211
Proteus_Vulgaris,Norfloxacin,210
Stenotrophomonas_Maltophilia,Ciprofloxacin,208
Streptococcus_Pneumoniae,Penicillin,201
Stenotrophomonas_Maltophilia,Gentamicin,201
Streptococcus_Pneumoniae,Clindamycin,201
Stenotrophomonas_Maltophilia,Fosfomycin,200
Stenotrophomonas_Maltophilia,Meropenem,199
Stenotrophomonas_Maltophilia,Imipenem,199
Stenotrophomonas_Maltophilia,Cefepime,199
Stenotrophomonas_Maltophilia,Cefuroxime,199
Stenotrophomonas_Maltophilia,Ampicillin,199
Stenotrophomonas_Maltophilia,Tobramycin,199
Stenotrophomonas_Maltophilia,Ticarcillin,199
Stenotrophomonas_Maltophilia,Aztreonam,199
Stenotrophomonas_Maltophilia,Ertapenem,199
Stenotrophomonas_Maltophilia,Amikacin,198
Citrobacter_Freundii,Cefpodoxime,197
Stenotrophomonas_Maltophilia,Colistin,188
Streptococcus_Pneumoniae,Ampicillin,187
Citrobacter_Freundii,Cefoxitin,181
Streptococcus_Pneumoniae,Erythromycin,172
Serratia_Marcescens,Chloramphenicol,171
Enterobacter_Cloacae,Polymyxin B,170
Klebsiella_Pneumoniae,Cefazolin,169
Streptococcus_Pneumoniae,Meropenem,168
Streptococcus_Pneumoniae,Moxifloxacin,168
Citrobacter_Freundii,Aztreonam,167
Enterobacter_Cloacae,Cefoxitin,164
Citrobacter_Koseri,Cefuroxime,164
Haemophilus_Influenzae,Ciprofloxacin,164
Citrobacter_Freundii,Piperacillin,163
Citrobacter_Freundii,Cefotaxime,163
Streptococcus_Pneumoniae,Cefotaxime,162
Citrobacter_Freundii,Cefixime,162
Streptococcus_Pneumoniae,Linezolid,162
Citrobacter_Freundii,Ticarcillin,162
Streptococcus_Pneumoniae,Tetracycline,162
Streptococcus_Pneumoniae,Cefepime,157
Klebsiella_Oxytoca,Chloramphenicol,157
Streptococcus_Pneumoniae,Cefuroxime,157
Citrobacter_Freundii,Tigecycline,154
Klebsiella_Pneumoniae,Cotrimoxazol,152
Enterobacter_Cloacae,Nitrofurantoin,152
Streptococcus_Pneumoniae,Chloramphenicol,149
Streptococcus_Pneumoniae,Minocycline,146
Streptococcus_Pneumoniae,Pristinamycin,144
Streptococcus_Pneumoniae,Azithromycin,144
Proteus_Vulgaris,Cefpodoxime,140
Staphylococcus_Lugdunensis,Ampicillin,138
Enterococcus_Faecium,Amoxicillin-Clavulanic acid,138
Haemophilus_Influenzae,Amoxicillin-Clavulanic acid,137
Morganella_Morganii,Chloramphenicol,135
Enterococcus_Faecium,Piperacillin-Tazobactam,134
Haemophilus_Influenzae,Ceftriaxone,134
Morganella_Morganii,Cefuroxime,133
Klebsiella_Oxytoca,Polymyxin B,132
Serratia_Marcescens,Cefpodoxime,126
Morganella_Morganii,Cefpodoxime,122
Citrobacter_Koseri,Polymyxin B,119
Staphylococcus_Aureus,Nitrofurantoin,118
Citrobacter_Koseri,Nitrofurantoin,115
Proteus_Vulgaris,Ampicillin,114
Proteus_Vulgaris,Cefuroxime,114
Proteus_Vulgaris,Gentamicin,114
