,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Benzylpenicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clindamycin,Cotrimoxazol,Cotrimoxazole,Daptomycin,Doxycycline,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Linezolid,Meropenem,Minocycline,Moxifloxacin,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Rifampicin,Teicoplanin,Tetracycline,Tigecycline,Tobramycin,Vancomycin
Clindamycin,0.5477567,0.4924674,0.22907202,0.13752283,0.49358147,0.49162012,0.49358147,0.49358147,0.21914542,0.45572677,0.0,0.4832989,0.36052927,0.0,0.0,0.5469695,0.12148238,0.18761106,0.5530238,0.4438043,0.2001492,0.07388561,0.49358147,0.0,0.0,0.274196,0.48580632,0.0737638,0.49358147,0.25284457,0.11444484,0.13541204,0.22542499,0.0,0.5358851,0.022266237
Cotrimoxazol,0.0,0.35382253,0.0,0.08045903,0.0,0.35382253,0.0,0.0,0.0,0.5903623,0.4832989,0.0,0.0,0.0,0.0,0.261126,0.0,0.4579995,0.6377974,0.0,0.5903623,0.0,0.0,0.0,0.0,0.10874545,0.35382253,0.0,0.0,0.0,0.0,0.0,0.032080516,0.0,0.0,0.0
Cotrimoxazole,0.0,0.41501188,0.0,0.0,0.41633925,0.41633925,0.41633925,0.41633925,0.0,0.55364144,0.36052927,0.0,0.0,0.0,0.0,0.0736182,0.0,0.20776752,0.615925,0.41633925,0.0,0.034950536,0.41633925,0.0,0.0,0.0,0.3979248,0.056612696,0.41633925,0.0,0.19840275,0.33376214,0.22760466,0.053915177,0.0,0.032722536
Daptomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026647716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doxycycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythromycin,0.36282712,0.28005964,0.25153506,0.16690391,0.26725686,0.28005964,0.26725686,0.26725686,0.039704245,0.18944821,0.5469695,0.261126,0.0736182,0.0,0.0,0.0,0.056171667,0.11098678,0.23377568,0.24612395,0.2369401,0.0032570853,0.26725686,0.0,0.0,0.3109768,0.29100752,0.069254525,0.26725686,0.110723555,0.0045884675,0.08206327,0.20866024,0.0,0.36803126,0.017602671
Fosfomycin,0.086676285,0.18835264,0.06955409,0.039289773,0.0,0.18835264,0.0,0.0,0.013144134,0.1029812,0.12148238,0.0,0.0,0.0,0.0,0.056171667,0.0,0.11048646,0.15180004,0.04049288,0.09808078,0.0,0.0,0.0,0.0,0.0,0.20454296,0.032090936,0.0,0.013144134,0.26488635,0.0,0.0,0.0,0.076907635,0.0
Fusidic acid,0.0,0.2622891,0.0,0.14194527,0.24915655,0.26131016,0.24915655,0.24915655,0.027573377,0.26929328,0.18761106,0.4579995,0.20776752,0.0,0.0,0.11098678,0.11048646,0.0,0.250258,0.27064824,0.68480736,0.045952935,0.24915655,0.0,0.0,0.37114158,0.23914306,0.0885491,0.24915655,0.0,0.16270779,0.0,0.04704938,0.02299253,0.0,0.0
Gentamicin,0.8659719,0.5322771,0.2126344,0.088919215,0.5368845,0.53378034,0.5368845,0.5368845,0.19462655,0.6482099,0.5530238,0.6377974,0.615925,0.0,0.0,0.23377568,0.15180004,0.250258,0.0,0.4876695,0.35198864,0.08566196,0.5368845,0.0,0.0,0.38231847,0.53789306,0.062739,0.5368845,0.26131758,0.26564813,0.17108393,0.2962468,0.037694022,0.87706834,0.025775867
Imipenem,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.65228295,0.4438043,0.0,0.41633925,0.0,0.0,0.24612395,0.04049288,0.27064824,0.4876695,0.0,0.0,0.045249905,1.0,0.0,0.0,0.29478794,0.897738,0.10766275,1.0,0.042524327,0.18050948,0.0,0.2741733,0.022162497,0.0,0.013606978
Levofloxacin,0.0,0.58909005,0.0,0.13628756,0.0,0.58909005,0.0,0.0,0.0,1.0,0.2001492,0.5903623,0.0,0.0,0.0,0.2369401,0.09808078,0.68480736,0.35198864,0.0,0.0,0.070806995,0.0,0.0,0.0,0.27200034,0.21411493,0.0,0.0,0.0,0.124821015,0.017572278,0.06985597,0.0,0.0,0.0
Linezolid,0.191729,0.01566461,0.058294058,0.0,0.015904108,0.01566461,0.015904108,0.015904108,0.80819017,0.05964325,0.07388561,0.0,0.034950536,0.0,0.0,0.0032570853,0.0,0.045952935,0.08566196,0.045249905,0.070806995,0.0,0.015904108,0.0,0.0,0.0,0.049553342,0.006251052,0.015904108,0.03554546,0.08004058,0.0,0.0,0.0,0.18315452,0.0
Meropenem,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.63763714,0.49358147,0.0,0.41633925,0.0,0.0,0.26725686,0.0,0.24915655,0.5368845,1.0,0.0,0.015904108,0.0,0.0,0.0,0.4767313,1.0,0.12327355,1.0,0.0,0.18050948,0.23611252,0.3620597,0.022162497,0.0,0.015904604
Minocycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moxifloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mupirocin,0.4283962,0.16994701,0.23093238,0.024390243,0.4767313,0.16994701,0.4767313,0.4767313,0.0,0.32822448,0.274196,0.10874545,0.0,0.0,0.0,0.3109768,0.0,0.37114158,0.38231847,0.29478794,0.27200034,0.0,0.4767313,0.0,0.0,0.0,0.37953898,0.26165682,0.4767313,0.0,0.31594202,0.1669419,0.10743646,0.0,0.40957326,0.0
Oxacillin,0.66100854,1.0,0.36829105,0.19485909,1.0,1.0,1.0,1.0,0.13437587,0.52984977,0.48580632,0.35382253,0.3979248,0.0,0.0,0.29100752,0.20454296,0.23914306,0.53789306,0.897738,0.21411493,0.049553342,1.0,0.0,0.0,0.37953898,0.0,0.13420744,1.0,0.2030865,0.19360399,0.14737046,0.3425344,0.0057297414,0.68031627,0.014201373
Penicillin,0.18349396,0.12239874,0.0,0.0,0.12327355,0.12327355,0.12327355,0.12327355,0.031204324,0.06049419,0.0737638,0.0,0.056612696,0.0026647716,0.0,0.069254525,0.032090936,0.0885491,0.062739,0.10766275,0.0,0.006251052,0.12327355,0.0,0.0,0.26165682,0.13420744,0.0,0.12327355,0.03394221,0.022834105,0.08618369,0.06046948,0.005037296,0.20196404,0.0018720502
Piperacillin-Tazobactam,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.63763714,0.49358147,0.0,0.41633925,0.0,0.0,0.26725686,0.0,0.24915655,0.5368845,1.0,0.0,0.015904108,1.0,0.0,0.0,0.4767313,1.0,0.12327355,0.0,0.0,0.18050948,0.23611252,0.3620597,0.022162497,0.0,0.015904604
Pristinamycin,0.20213069,0.0,0.07214769,0.0,0.0,0.0,0.0,0.0,0.008575381,0.0,0.25284457,0.0,0.0,0.0,0.0,0.110723555,0.013144134,0.0,0.26131758,0.042524327,0.0,0.03554546,0.0,0.0,0.0,0.0,0.2030865,0.03394221,0.0,0.0,0.0,0.0,0.0,0.0,0.2267427,0.0
Rifampicin,0.0,0.17866103,0.0,0.016936993,0.18050948,0.17845938,0.18050948,0.18050948,0.0,0.2693596,0.11444484,0.0,0.19840275,0.0,0.0,0.0045884675,0.26488635,0.16270779,0.26564813,0.18050948,0.124821015,0.08004058,0.18050948,0.0,0.0,0.31594202,0.19360399,0.022834105,0.18050948,0.0,0.0,0.0,0.16142876,0.0,0.0,0.0
Teicoplanin,0.13495524,0.23398887,0.040970642,0.0,0.23611252,0.23398887,0.23611252,0.23611252,0.0,0.010897282,0.13541204,0.0,0.33376214,0.0,0.0,0.08206327,0.0,0.0,0.17108393,0.0,0.017572278,0.0,0.23611252,0.0,0.0,0.1669419,0.14737046,0.08618369,0.23611252,0.0,0.0,0.0,0.23049842,0.0,0.12889275,0.11728859
Tetracycline,0.20432577,0.36272082,0.13188615,0.08182341,0.3620597,0.36272082,0.3620597,0.3620597,0.02206509,0.17202753,0.22542499,0.032080516,0.22760466,0.0,0.0,0.20866024,0.0,0.04704938,0.2962468,0.2741733,0.06985597,0.0,0.3620597,0.0,0.0,0.10743646,0.3425344,0.06046948,0.3620597,0.0,0.16142876,0.23049842,0.0,0.060572892,0.20814385,0.02339545
Tigecycline,0.0,0.022095686,0.0,0.0,0.022162497,0.022095686,0.022162497,0.022162497,0.0,0.02169174,0.0,0.0,0.053915177,0.0,0.0,0.0,0.0,0.02299253,0.037694022,0.022162497,0.0,0.0,0.022162497,0.0,0.0,0.0,0.0057297414,0.005037296,0.022162497,0.0,0.0,0.0,0.060572892,0.0,0.0,0.0
Tobramycin,0.9596201,0.0,0.24250886,0.0,0.0,0.0,0.0,0.0,0.15816003,0.0,0.5358851,0.0,0.0,0.0,0.0,0.36803126,0.076907635,0.0,0.87706834,0.0,0.0,0.18315452,0.0,0.0,0.0,0.40957326,0.68031627,0.20196404,0.0,0.2267427,0.0,0.12889275,0.20814385,0.0,0.0,0.0
Vancomycin,0.0,0.015682358,0.0,0.0,0.015904604,0.015665287,0.015904604,0.015904604,0.0,0.017156266,0.022266237,0.0,0.032722536,0.0,0.0,0.017602671,0.0,0.0,0.025775867,0.013606978,0.0,0.0,0.015904604,0.0,0.0,0.0,0.014201373,0.0018720502,0.015904604,0.0,0.0,0.11728859,0.02339545,0.0,0.0,0.0
