,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Tigecycline,Tobramycin
Ciprofloxacin,0.4661204,0.1547583,0.6954823,0.6613032,0.59199655,0.44802606,0.36732578,0.5886623,0.5749694,0.22718473,0.0,0.0,0.32853693,0.42583123,0.6608946,0.0,0.40147755,0.5710859,0.3287512,0.0,1.0,0.0,0.15244998,0.0,0.46545327
Colistin,0.70584744,0.0,0.49204195,0.44401917,0.4919566,0.0,0.0,0.44401917,0.0,0.0,0.0,0.32853693,0.0,0.0,0.4973238,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.023542775,0.70584744
Cotrimoxazole,0.0,0.07857884,0.0,0.0,0.0,0.0,0.10459472,0.0,0.0,0.0,0.0,0.42583123,0.0,0.0,0.0,0.0,0.0,0.42319974,0.0,0.0,0.45542374,0.0,0.08173271,0.0,0.0
Ertapenem,0.34750143,0.0,0.47826087,0.4387472,0.47802198,0.2173913,0.0,0.4387472,0.0,0.0,0.0,0.6608946,0.4973238,0.0,0.0,0.0,0.49300665,0.0,0.49744242,0.0,0.60442954,0.0,0.0,0.047831014,0.34721953
Fosfomycin,0.0,0.0,0.26215205,0.26563826,0.0,0.26215205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gentamicin,1.0,0.0,0.49204195,0.4941971,0.4919566,0.0,0.0,0.49507377,0.0,0.0,0.0,0.40147755,1.0,0.0,0.49300665,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.018427115,1.0
Levofloxacin,0.40311834,0.19861534,0.0,0.2798333,0.0,0.0,0.36732578,0.24794713,0.57422096,0.0,0.0,0.5710859,0.0,0.42319974,0.0,0.0,0.0,0.0,0.0,0.0,0.603855,0.0,0.2176819,0.0,0.40311834
Meropenem,0.7059032,0.0,0.49204195,0.4441609,0.4919566,0.0,0.0,0.4441609,0.0,0.0,0.0,0.3287512,1.0,0.0,0.49744242,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023542775,0.70584744
Nitrofurantoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfloxacin,0.34721518,0.3196347,0.6185537,0.60447055,0.4894763,0.4894763,0.36732578,0.5188415,0.57346237,0.27937213,0.0,1.0,0.0,0.45542374,0.60442954,0.0,0.0,0.603855,0.0,0.0,0.0,0.0,0.39629468,0.0,0.34672552
Piperacillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin-Tazobactam,0.29441598,0.6892474,0.0,0.29441598,0.0,0.0,0.24071544,0.29441598,0.29441598,0.6454972,0.0,0.15244998,0.0,0.08173271,0.0,0.0,0.0,0.2176819,0.0,0.0,0.39629468,0.0,0.0,0.0,0.40253824
Tigecycline,0.023542775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023542775,0.0,0.047831014,0.0,0.018427115,0.0,0.023542775,0.0,0.0,0.0,0.0,0.0,0.023542775
Tobramycin,1.0,0.37168208,0.49204195,0.62905824,0.4919566,0.0,0.21017358,0.62905824,1.0,0.0,0.0,0.46545327,0.70584744,0.0,0.34721953,0.0,1.0,0.40311834,0.70584744,0.0,0.34672552,0.0,0.40253824,0.023542775,0.0
