,Amikacin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tobramycin
Ciprofloxacin,0.120848835,0.31740746,0.0,0.2207817,0.25573108,0.05330018,0.3736309,0.36107588,0.04761905,0.11764706,0.0,0.63725734,0.0,0.07634477,0.4369735,0.032792773,0.96070284,0.06600401,0.9525218,0.333056,0.16019054,0.48195067,0.36819077
Cotrimoxazole,0.2923828,0.0,0.25397637,0.0,0.0,0.04708816,0.14386818,0.22912617,0.088636,0.0,0.63725734,0.0,0.0,0.0,0.34188172,0.0,0.74825174,0.0,0.57735026,0.0,0.0,0.0,0.53104764
Ertapenem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fosfomycin,0.049286406,0.1539448,0.049286406,0.11710118,0.21527204,0.0,0.17050333,0.0,0.0,0.12909944,0.07634477,0.0,0.0,0.0,0.0,0.0,0.069427446,0.0,0.06690116,0.08297639,0.0,0.078528166,0.04005586
Gentamicin,0.17095849,0.18767706,0.17095849,0.095439576,0.17268844,0.0,0.16789322,0.47560975,0.029160593,0.2668725,0.4369735,0.34188172,0.0,0.0,0.0,0.08264749,0.48605037,0.035559364,0.21617483,0.23126344,0.0,0.40628007,0.8451037
Imipenem,0.0,0.0,0.0,0.0,0.0,0.0,0.019275833,0.0,0.0,0.0,0.032792773,0.0,0.0,0.0,0.08264749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levofloxacin,0.12953575,0.3103838,0.0,0.22633049,0.25637928,0.05330018,0.3933619,0.41557232,0.0,0.18257418,0.96070284,0.74825174,0.0,0.069427446,0.48605037,0.0,0.0,0.0,0.9145292,0.35064083,0.17180203,0.5017439,0.38770512
Nitrofurantoin,0.0,0.0,0.0,0.0,0.0,0.0,0.06600401,0.0,0.69631064,0.0,0.06600401,0.0,0.0,0.0,0.035559364,0.0,0.0,0.0,0.0771845,0.0,0.0,0.0,0.0
Norfloxacin,0.14217778,0.3941443,0.0,0.31785426,0.28311688,0.05330018,0.41749257,0.34188172,0.08627959,0.0,0.9525218,0.57735026,0.0,0.06690116,0.21617483,0.0,0.9145292,0.0771845,0.0,0.3704793,0.35675302,0.47577164,0.38775778
Piperacillin,0.0,0.6454821,0.13188492,0.67377925,0.7249655,0.0,0.63179773,0.0,0.0,0.2786391,0.333056,0.0,0.0,0.08297639,0.23126344,0.0,0.35064083,0.0,0.3704793,0.0,0.0,0.8140161,0.23497444
Piperacillin-Tazobactam,0.0,0.0,0.40033364,0.0,0.0,0.022727273,0.27725014,0.13652588,0.0,0.0,0.16019054,0.0,0.0,0.0,0.0,0.0,0.17180203,0.0,0.35675302,0.0,0.0,0.0,0.0
Ticarcillin,0.034200218,0.6297106,0.1174129,0.62448776,0.6682331,0.0,0.61219656,0.0,0.0,0.36055514,0.48195067,0.0,0.0,0.078528166,0.40628007,0.0,0.5017439,0.0,0.47577164,0.8140161,0.0,0.0,0.32435843
Tobramycin,0.7326951,0.13847134,0.08906627,0.07368761,0.15276913,0.04708816,0.17991072,0.16505904,0.0,0.12909944,0.36819077,0.53104764,0.0,0.04005586,0.8451037,0.0,0.38770512,0.0,0.38775778,0.23497444,0.0,0.32435843,0.0
