,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Ceftriaxone,0.47934875,0.3076768,0.26973313,0.0,0.6876277,0.0,0.0,0.0,0.8991658,0.71400803,0.0,1.0,0.0,0.3189686,0.0,0.25286973,0.0,0.0,0.0829185,0.023647169,0.43978515,0.41672146,0.0,0.3871427,0.0,0.36908263,0.0,0.0,0.49452993
Cefuroxime,0.0,0.90918255,0.22839686,0.36027935,0.3847521,0.36734185,0.37189838,0.56273144,0.0,0.4012899,1.0,0.0,0.0,0.23987852,0.0,0.0,0.063692175,0.14601682,0.21823907,0.24307795,0.19947292,0.1406415,0.040176477,0.34371427,0.18741673,0.787013,0.18404964,0.0,0.19479191
Chloramphenicol,0.07255313,0.0,0.40562683,0.20878556,0.18003924,0.11529949,0.18003924,0.0,0.0,0.11529949,0.0,0.0,0.0,0.33422276,0.0,0.0,0.0,0.0,0.26428166,0.0,0.33422276,0.0,0.0,0.0,0.4208585,0.0,0.4042044,0.0,0.27273703
Ciprofloxacin,0.1274448,0.09883467,0.34308067,0.34032536,0.2565099,0.33441412,0.35218036,0.2773501,0.4334607,0.32992294,0.3189686,0.23987852,0.33422276,0.0,0.6948083,0.44616455,0.057947032,0.40055963,0.2946614,0.09301977,0.99047196,0.0,0.043731604,0.9696523,0.33031502,0.0,0.3288388,0.0,0.33268252
Cotrimoxazol,0.0,0.23904572,0.69518167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6948083,0.0,0.0,0.0,0.34299716,0.42640144,0.0,0.0,0.0,0.0,0.6948083,0.0,0.23904572,0.0,0.0,0.0
Cotrimoxazole,0.15506019,0.14529434,0.6197507,0.0,0.1709606,0.0,0.0,0.0,0.27832255,0.10878344,0.25286973,0.0,0.0,0.44616455,0.0,0.0,0.0,0.255441,0.42453805,0.0,0.4852604,0.0,0.0,0.36440453,0.0,0.0,0.0,0.0,0.3904189
Ertapenem,0.0,0.0,0.054646526,0.16510507,0.15652077,0.17059307,0.16780251,0.0,0.0,0.1544527,0.0,0.063692175,0.0,0.057947032,0.0,0.0,0.0,0.0,0.0,0.015776597,0.0,1.0,0.0,0.06840326,0.060038745,0.0,0.05947836,0.0,0.0
Fosfomycin,0.0,0.0,0.19587961,0.21933188,0.25271755,0.25494656,0.24516809,0.0,0.0,0.23757285,0.0,0.14601682,0.0,0.40055963,0.34299716,0.255441,0.0,0.0,0.13677335,0.077295825,0.4072512,0.0,0.0,0.5029328,0.17512603,0.0,0.18290533,0.0,0.10987504
Gentamicin,0.16120824,0.064852044,0.35979918,0.37981716,0.3417066,0.37453097,0.3889429,0.42426407,0.0,0.32351756,0.0829185,0.21823907,0.26428166,0.2946614,0.42640144,0.42453805,0.0,0.13677335,0.0,0.026520869,0.280054,0.0,0.024864443,0.31937996,0.37420484,0.0,0.38196534,0.0,0.82381743
Imipenem,0.0,0.102323465,0.020754622,0.027197672,0.05193479,0.026302133,0.026239129,0.21677749,0.0,0.06255417,0.023647169,0.24307795,0.0,0.09301977,0.0,0.0,0.015776597,0.077295825,0.026520869,0.0,0.07082658,0.035218917,0.0,0.011476993,0.0,0.047923952,0.0,0.0,0.0
Levofloxacin,0.12928864,0.14576486,0.36109695,0.3277729,0.283277,0.32153478,0.33936277,0.0,0.43315512,0.35422623,0.43978515,0.19947292,0.33422276,0.99047196,0.0,0.4852604,0.0,0.4072512,0.280054,0.07082658,0.0,0.0,0.0,0.96141404,0.33279902,0.0,0.3314819,0.0,0.33719885
Meropenem,0.0,0.32469767,0.12140703,0.16510507,0.3332969,0.17057908,0.16778834,0.0,0.0,0.32928497,0.41672146,0.1406415,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.035218917,0.0,0.0,0.0,0.06837783,0.060038745,0.89330566,0.059716407,0.0,0.0
Nitrofurantoin,0.0,0.016162705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015244319,0.0,0.040176477,0.0,0.043731604,0.0,0.0,0.0,0.0,0.024864443,0.0,0.0,0.0,0.0,0.04861145,0.0,0.0,0.0,0.0,0.0
Norfloxacin,0.11200848,0.16013741,0.39946532,0.33696,0.31092393,0.35336712,0.3615684,0.2773501,0.41428137,0.36888474,0.3871427,0.34371427,0.0,0.9696523,0.6948083,0.36440453,0.06840326,0.5029328,0.31937996,0.011476993,0.96141404,0.06837783,0.04861145,0.0,0.3659136,0.0,0.3689911,0.0,0.30557558
Piperacillin,0.0,0.0,0.94582075,0.2945103,0.3338725,0.29997933,0.3052667,0.0,0.0,0.31641045,0.0,0.18741673,0.4208585,0.33031502,0.0,0.0,0.060038745,0.17512603,0.37420484,0.0,0.33279902,0.060038745,0.0,0.3659136,0.0,0.0,0.990633,0.0,0.3188697
Piperacillin-Tazobactam,0.0,0.36482146,0.32684654,0.0,0.48790947,0.0,0.0,0.0,0.0,0.53225935,0.36908263,0.787013,0.0,0.0,0.23904572,0.0,0.0,0.0,0.0,0.047923952,0.0,0.89330566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ticarcillin,0.009868802,0.0,0.9454637,0.28586915,0.3246191,0.29546174,0.29546174,0.0,0.0,0.30677775,0.0,0.18404964,0.4042044,0.3288388,0.0,0.0,0.05947836,0.18290533,0.38196534,0.0,0.3314819,0.059716407,0.0,0.3689911,0.990633,0.0,0.0,0.0,0.3270723
Tigecycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobramycin,0.5095315,0.2069667,0.307095,0.39174533,0.34364748,0.38619652,0.40093702,0.0,0.5556576,0.38749406,0.49452993,0.19479191,0.27273703,0.33268252,0.0,0.3904189,0.0,0.10987504,0.82381743,0.0,0.33719885,0.0,0.0,0.30557558,0.3188697,0.0,0.3270723,0.0,0.0
