,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Ceftriaxone,0.31623358,0.325484,0.40139392,0.0,0.85324,0.0,0.0,0.5659165,0.8512389,0.8891138,0.0,0.8903548,0.0,0.53792316,0.029741352,0.12598816,0.33961284,0.11970768,0.0,0.31230012,0.019197302,0.56997806,0.041321687,0.14250569,0.42861703,0.0,0.24949364,0.0,0.0,0.40800607
Cefuroxime,0.14345531,0.43737397,0.24970837,0.23005588,0.37133986,0.22364424,0.23092116,0.45463094,0.0,0.41145214,0.8903548,0.0,0.0,0.31053457,0.0,0.12598816,0.36654112,0.076399714,0.0,0.13046108,0.032875087,0.07815019,0.028302412,0.011098374,0.45669112,0.17040451,0.38345817,0.17320266,0.11683422,0.11349396
Chloramphenicol,0.0,0.0,0.22625075,0.1653052,0.12594925,0.17251547,0.1653052,0.0,0.0,0.16559874,0.0,0.0,0.0,0.23585376,0.0,0.0,0.0,0.025079196,0.013945002,0.21695402,0.0,0.24797243,0.0,0.0,0.0,0.23268186,0.0,0.2368184,0.0,0.19170336
Ciprofloxacin,0.25891656,0.27115196,0.36531952,0.5023331,0.47709703,0.4834064,0.50082076,0.16979055,0.52187645,0.48996747,0.53792316,0.31053457,0.23585376,0.0,0.027457066,0.26879284,0.29261753,0.10707293,0.116000794,0.21942867,0.03483639,0.96833897,0.048595488,0.04443922,0.9748528,0.41495317,0.20940816,0.41127005,0.022780035,0.3525044
Colistin,0.017006472,0.02755449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012649018,0.029741352,0.0,0.0,0.027457066,0.0,0.0,0.031023918,0.0,0.0,0.0,0.0,0.029257659,0.0,0.0,0.033623535,0.0,0.018444184,0.0,0.0,0.042736765
Cotrimoxazol,0.40378642,0.0,0.25,0.0,0.16983673,0.0,0.0,0.0,0.0,0.12598816,0.12598816,0.12598816,0.0,0.26879284,0.0,0.0,0.0,0.24459979,0.0,0.27279598,0.0,0.0,0.0,0.17186001,0.30073372,0.0,0.12598816,0.0,0.0,0.0
Cotrimoxazole,0.1338507,0.23562826,0.56380266,0.0,0.3019325,0.0,0.0,0.0,0.32528755,0.28434125,0.33961284,0.36654112,0.0,0.29261753,0.031023918,0.0,0.0,0.0057737976,0.0,0.24561977,0.0,0.30490592,0.0,0.037453137,0.26639777,0.0,0.21922234,0.0,0.0,0.2598568
Ertapenem,0.0892988,0.1436734,0.103701495,0.22094563,0.13402444,0.21917571,0.20864716,0.35216308,0.11317369,0.16037211,0.11970768,0.076399714,0.025079196,0.10707293,0.0,0.24459979,0.0057737976,0.0,0.0,0.12870793,0.3107742,0.1143533,0.3521732,0.23196799,0.021492979,0.10515678,0.27685538,0.107704505,0.0,0.07062662
Fosfomycin,0.09570406,0.0,0.035866532,0.16454718,0.114841655,0.1664672,0.16585976,0.0,0.0,0.10530037,0.0,0.0,0.013945002,0.116000794,0.0,0.0,0.0,0.0,0.0,0.06756808,0.0,0.17686613,0.0,0.0,0.08337455,0.049099565,0.09284767,0.048231345,0.0,0.1305311
Gentamicin,0.17351475,0.2571694,0.24902384,0.11019673,0.21527754,0.1253234,0.11044916,0.075045206,0.0,0.18419024,0.31230012,0.13046108,0.21695402,0.21942867,0.0,0.27279598,0.24561977,0.12870793,0.06756808,0.0,0.1215882,0.097700216,0.14062461,0.0,0.219164,0.22189389,0.18487036,0.22877356,0.0,0.7848262
Imipenem,0.06913313,0.017256169,0.03348655,0.10673664,0.055522446,0.112085596,0.10713995,0.0,0.006742468,0.028363638,0.019197302,0.032875087,0.0,0.03483639,0.0,0.0,0.0,0.3107742,0.0,0.1215882,0.0,0.0508765,0.86586463,0.0,0.0,0.04259177,0.048236124,0.04361813,0.013859579,0.04049706
Levofloxacin,0.2788142,0.2600418,0.4041124,0.5273068,0.49329692,0.50497526,0.52560943,0.0,0.5258373,0.5151811,0.56997806,0.07815019,0.24797243,0.96833897,0.029257659,0.0,0.30490592,0.1143533,0.17686613,0.097700216,0.0508765,0.0,0.050705943,0.06276797,0.98311037,0.4078864,0.1987625,0.40278158,0.0015746335,0.34426445
Meropenem,0.08310392,0.039718345,0.038783606,0.10673664,0.0731819,0.11206432,0.10711841,0.0,0.039904818,0.04045106,0.041321687,0.028302412,0.0,0.048595488,0.0,0.0,0.0,0.3521732,0.0,0.14062461,0.86586463,0.050705943,0.0,0.0,0.0,0.04259177,0.079400115,0.043559976,0.013859579,0.05108138
Nitrofurantoin,0.107645005,0.11485368,0.0666145,0.0,0.119542606,0.0,0.0,0.1575909,0.16208519,0.107782714,0.14250569,0.011098374,0.0,0.04443922,0.0,0.17186001,0.037453137,0.23196799,0.0,0.0,0.0,0.06276797,0.0,0.0,0.056250308,0.104795896,0.20525515,0.075,0.0,0.088564046
Norfloxacin,0.25370666,0.2746878,0.33167556,0.5090199,0.4246466,0.50487816,0.5105228,0.32784268,0.41318977,0.43178073,0.42861703,0.45669112,0.0,0.9748528,0.033623535,0.30073372,0.26639777,0.021492979,0.08337455,0.219164,0.0,0.98311037,0.0,0.056250308,0.0,0.4265617,0.2242249,0.42824787,0.0028066754,0.32769537
Piperacillin,0.18503508,0.0,0.98644483,0.39893404,0.38043016,0.38992384,0.39893404,0.0,0.0,0.39893404,0.0,0.17040451,0.23268186,0.41495317,0.0,0.0,0.0,0.10515678,0.049099565,0.22189389,0.04259177,0.4078864,0.04259177,0.104795896,0.4265617,0.0,0.0,1.0,0.011508671,0.302861
Piperacillin-Tazobactam,0.16770874,0.5123675,0.2842161,0.0,0.24230468,0.0,0.0,0.40422603,0.23925583,0.2647745,0.24949364,0.38345817,0.0,0.20940816,0.018444184,0.12598816,0.21922234,0.27685538,0.09284767,0.18487036,0.048236124,0.1987625,0.079400115,0.20525515,0.2242249,0.0,0.0,0.0,0.0,0.20669857
Ticarcillin,0.18702073,0.0,0.9863476,0.38992384,0.37112173,0.39036596,0.39036596,0.0,0.0,0.39036596,0.0,0.17320266,0.2368184,0.41127005,0.0,0.0,0.0,0.107704505,0.048231345,0.22877356,0.04361813,0.40278158,0.043559976,0.075,0.42824787,1.0,0.0,0.0,0.07891471,0.30965188
Tigecycline,0.0,0.0,0.01634593,0.0,0.0,0.019518185,0.0,0.0,0.0,0.0,0.0,0.11683422,0.0,0.022780035,0.0,0.0,0.0,0.0,0.0,0.0,0.013859579,0.0015746335,0.013859579,0.0,0.0028066754,0.011508671,0.0,0.07891471,0.0,0.0
Tobramycin,0.6438552,0.35312772,0.30550173,0.2695626,0.36666527,0.27637535,0.2709955,0.0,0.37738943,0.3162298,0.40800607,0.11349396,0.19170336,0.3525044,0.042736765,0.0,0.2598568,0.07062662,0.1305311,0.7848262,0.04049706,0.34426445,0.05108138,0.088564046,0.32769537,0.302861,0.20669857,0.30965188,0.0,0.0
