,Amoxicillin-Clavulanic acid,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clindamycin,Cotrimoxazole,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Rifampicin,Teicoplanin,Tetracycline,Tigecycline
Imipenem,1.0,1.0,1.0,1.0,1.0,0.8527823,0.16958898,0.7277562,0.5915887,0.0,0.0,0.8841434,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.19245009,0.29024318,0.27772984,0.0
Levofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meropenem,1.0,1.0,1.0,1.0,1.0,0.8416254,0.18239658,0.7277562,0.5698029,0.0,0.0,0.875,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.19245009,0.3581168,0.359459,0.0
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.4845437,0.27216554,0.0,0.49236596,0.0,0.0,0.4845437,0.0,0.0,0.0,0.0,0.4845437,0.0,0.0,0.0,0.22973415,0.0,0.0
Oxacillin,1.0,1.0,1.0,1.0,1.0,0.8672582,0.1978201,0.730929,0.6572856,0.0,0.0,0.8996804,1.0,0.0,1.0,0.4845437,0.0,0.0,1.0,0.21573524,0.2931685,0.3055038,0.06820455
Penicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin-Tazobactam,1.0,1.0,1.0,1.0,1.0,0.8416254,0.18239658,0.7277562,0.5698029,0.0,0.0,0.875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.19245009,0.3581168,0.359459,0.0
Rifampicin,0.22571896,0.19245009,0.2236068,0.19245009,0.19245009,0.25503913,0.034419518,0.0,0.17829041,0.0,0.22452606,0.2621653,0.19245009,0.0,0.19245009,0.0,0.21573524,0.0,0.19245009,0.0,0.31678072,0.37855792,0.0
Teicoplanin,0.34559795,0.3581168,0.34559795,0.3581168,0.3581168,0.31870693,0.04161173,0.33281964,0.24034564,0.0,0.07396758,0.3267133,0.29024318,0.0,0.3581168,0.22973415,0.2931685,0.0,0.3581168,0.31678072,0.0,0.6135608,0.20654123
Tetracycline,0.37989622,0.359459,0.37989622,0.359459,0.359459,0.35045695,0.06118264,0.3522023,0.25845706,0.0,0.03395216,0.3528086,0.27772984,0.0,0.359459,0.0,0.3055038,0.0,0.359459,0.37855792,0.6135608,0.0,0.12403473
Tigecycline,0.071428575,0.0,0.071428575,0.0,0.0,0.08097763,0.08014743,0.0,0.055570472,0.0,0.17379321,0.08056776,0.0,0.0,0.0,0.0,0.06820455,0.0,0.0,0.0,0.20654123,0.12403473,0.0
