,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Benzylpenicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clarithromycin,Clindamycin,Cotrimoxazol,Cotrimoxazole,Daptomycin,Doxycycline,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Minocycline,Moxifloxacin,Mupirocin,Nitrofurantoin,Norfloxacin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Rifampicin,Teicoplanin,Tetracycline,Tigecycline,Tobramycin
Clarithromycin,0.0,0.48363012,0.028840221,0.0,0.0,0.0,0.0,0.0,0.0,0.19418131,0.0,0.8152993,0.0,0.09456283,0.0,0.20656572,0.0,0.0,0.0,0.23853017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48363012,0.028840221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clindamycin,0.106481776,0.23585562,0.018925326,0.0,0.23397055,0.24084109,0.23397055,0.23397055,0.14048766,0.22886206,0.8152993,0.0,0.0,0.046349563,0.017529214,0.030640794,0.79917645,0.0,0.04956388,0.1802614,0.24721597,0.1997338,0.23397055,0.08865964,0.0,0.053349294,0.0,0.0,0.1398515,0.036867116,0.23397055,0.06261715,0.14545244,0.024665466,0.21999647,0.0,0.106173515
Cotrimoxazol,0.0,0.3420168,0.0,0.10519808,0.0,0.3420168,0.0,0.0,0.0,0.13089313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21223201,0.5667799,0.0,0.13089313,0.0,0.0,0.0,0.0,0.0,0.0,0.3420168,0.0,0.0,0.0,0.0,0.0,0.49264705,0.0,0.0
Cotrimoxazole,0.0,0.17447151,0.050734628,0.0,0.173028,0.173028,0.173028,0.173028,0.0,0.17157818,0.09456283,0.046349563,0.0,0.0,0.0,0.17532931,0.05657355,0.0,0.065832905,0.27489918,0.173028,0.0,0.17306463,0.0,0.0,0.0,0.0,0.0,0.12475499,0.06942212,0.173028,0.0,0.06646532,0.0,0.13658293,0.0,0.0
Daptomycin,0.0,0.019647172,0.0,0.0,0.017246274,0.01953696,0.017246274,0.017246274,0.0,0.0,0.0,0.017529214,0.0,0.0,0.0,0.0,0.0,0.0,0.061400853,0.03880965,0.0,0.0,0.017279219,0.0,0.0,0.0,0.0,0.0,0.015450066,0.046068493,0.017246274,0.0,0.10319473,0.3640999,0.0,0.0,0.0
Doxycycline,0.0,0.23823024,0.10643888,0.0,0.0,0.0,0.0,0.0,0.0,0.01894803,0.20656572,0.030640794,0.0,0.17532931,0.0,0.0,0.0,0.0,0.05953646,0.07965005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23823024,0.10643888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythromycin,0.21255507,0.28617215,0.07375173,0.0,0.28450364,0.28617215,0.28450364,0.28450364,0.11410781,0.28134957,0.0,0.79917645,0.0,0.05657355,0.0,0.0,0.0,0.031069206,0.027630426,0.15809657,0.29006425,0.23035078,0.28450364,0.015205796,0.017957516,0.11018448,0.0,0.16543403,0.27324972,0.090691894,0.28450364,0.0,0.15201758,0.018941635,0.285223,0.0,0.21776257
Fosfomycin,0.2686821,0.0,0.08606509,0.0,0.0,0.0,0.0,0.0,0.0,0.07767057,0.0,0.0,0.0,0.0,0.0,0.0,0.031069206,0.0,0.19229643,0.13007036,0.0,0.07756422,0.0,0.13360289,0.04941388,0.07604057,0.0,0.07977938,0.299551,0.08606509,0.0,0.19638525,0.0,0.0,0.022655036,0.0,0.26356694
Fusidic acid,0.1796053,0.15154174,0.09806856,0.0,0.13848838,0.150263,0.13848838,0.13848838,0.07647191,0.2181361,0.0,0.04956388,0.21223201,0.065832905,0.061400853,0.05953646,0.027630426,0.19229643,0.0,0.09835033,0.24291772,0.8079389,0.13856155,0.058925565,0.0,0.13744827,0.0,0.0,0.11402307,0.041629072,0.13848838,0.0,0.13005348,0.0,0.09640442,0.0,0.1796053
Gentamicin,0.60969186,0.26747742,0.09863748,0.030206105,0.27802598,0.28530073,0.27802598,0.27802598,0.0,0.17098749,0.23853017,0.1802614,0.5667799,0.27489918,0.03880965,0.07965005,0.15809657,0.13007036,0.09835033,0.0,0.19503047,0.07145099,0.27802598,0.09332005,0.048564292,0.028270906,0.0,0.057824057,0.22031742,0.09747183,0.27802598,0.14238143,0.37601733,0.070058405,0.10449372,0.0,0.6001277
Imipenem,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.72953767,0.0,0.24721597,0.0,0.173028,0.0,0.0,0.29006425,0.0,0.24291772,0.19503047,0.0,0.0,1.0,0.01009744,0.11034383,0.15654065,0.0,0.0,0.5642235,0.2497879,1.0,0.007134622,0.12853341,0.003718271,0.18719518,0.0,0.0
Levofloxacin,0.0,0.41080406,0.0,0.0,0.0,0.41080406,0.0,0.0,0.0,1.0,0.0,0.1997338,0.13089313,0.0,0.0,0.0,0.23035078,0.07756422,0.8079389,0.07145099,0.0,0.0,0.0,0.0021155034,0.0,0.10984658,0.0,0.0,0.16472122,0.0,0.0,0.0,0.0,0.0,0.07105414,0.0,0.0
Meropenem,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.386197,0.0,0.23397055,0.0,0.17306463,0.017279219,0.0,0.28450364,0.0,0.13856155,0.27802598,1.0,0.0,0.0,0.0,0.0,0.08823179,0.0,0.0,0.9936367,0.2995398,1.0,0.0,0.12855761,0.027918005,0.36004338,0.0,0.0
Minocycline,0.048721697,0.0,0.023956416,0.0,0.0,0.0,0.0,0.0,0.31314918,0.0021155034,0.0,0.08865964,0.0,0.0,0.0,0.0,0.015205796,0.13360289,0.058925565,0.09332005,0.01009744,0.0021155034,0.0,0.0,0.0,0.0,0.0,0.0,0.106463484,0.023956416,0.0,0.7065789,0.0,0.0,0.21717316,0.0,0.047559485
Moxifloxacin,0.08760758,0.0,0.57177186,0.0,0.0,0.0,0.0,0.0,0.0134050185,0.70373154,0.0,0.0,0.0,0.0,0.0,0.0,0.017957516,0.04941388,0.0,0.048564292,0.11034383,0.0,0.0,0.0,0.0,0.060607698,0.0,0.0,0.27097338,0.3944474,0.0,0.0,0.0,0.0,0.03616183,0.0,0.09269112
Mupirocin,0.3825688,0.09845767,0.074530624,0.0,0.08823179,0.08774245,0.08823179,0.08823179,0.0,0.19127344,0.0,0.053349294,0.0,0.0,0.0,0.0,0.11018448,0.07604057,0.13744827,0.028270906,0.15654065,0.10984658,0.08823179,0.0,0.060607698,0.0,0.0,0.020515248,0.075598024,0.05958779,0.08823179,0.0,0.0,0.0,0.09130302,0.0,0.375168
Nitrofurantoin,0.0,0.0,0.07812091,0.0,0.0,0.0,0.0,0.0,0.0,0.2035717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfloxacin,0.1,0.0,0.1421151,0.0,0.0,0.0,0.0,0.0,0.0,0.90468,0.0,0.0,0.0,0.0,0.0,0.0,0.16543403,0.07977938,0.0,0.057824057,0.0,0.0,0.0,0.0,0.0,0.020515248,0.0,0.0,0.24924856,0.1421151,0.0,0.0,0.0,0.0,0.02946438,0.0,0.1
Oxacillin,0.3434792,0.9944675,0.22330125,0.19536616,0.99363565,0.99392974,0.99363565,0.99363565,0.040687386,0.22504729,0.48363012,0.1398515,0.3420168,0.12475499,0.015450066,0.23823024,0.27324972,0.299551,0.11402307,0.22031742,0.5642235,0.16472122,0.9936367,0.106463484,0.27097338,0.075598024,0.0,0.24924856,0.0,0.26872388,0.99363565,0.07521,0.08632065,0.022810092,0.30904457,0.0,0.3628501
Penicillin,0.17654902,0.28067833,1.0,0.0,0.2995398,0.2995398,0.2995398,0.2995398,0.037964538,0.15847316,0.028840221,0.036867116,0.0,0.06942212,0.046068493,0.10643888,0.090691894,0.08606509,0.041629072,0.09747183,0.2497879,0.0,0.2995398,0.023956416,0.3944474,0.05958779,0.07812091,0.1421151,0.26872388,0.0,0.2995398,0.016926965,0.06329755,0.016815623,0.11515296,0.0,0.17994438
Piperacillin-Tazobactam,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3878066,0.0,0.23397055,0.0,0.173028,0.017246274,0.0,0.28450364,0.0,0.13848838,0.27802598,1.0,0.0,1.0,0.0,0.0,0.08823179,0.0,0.0,0.99363565,0.2995398,0.0,0.0,0.12853341,0.027918005,0.36004338,0.0,0.0
Pristinamycin,0.086258195,0.0,0.016926965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06261715,0.0,0.0,0.0,0.0,0.0,0.19638525,0.0,0.14238143,0.007134622,0.0,0.0,0.7065789,0.0,0.0,0.0,0.0,0.07521,0.016926965,0.0,0.0,0.0,0.0,0.15344307,0.0,0.084895276
Rifampicin,0.0,0.1090532,0.06470493,0.0,0.12853341,0.12832332,0.12853341,0.12853341,0.0,0.13141292,0.0,0.14545244,0.0,0.06646532,0.10319473,0.0,0.15201758,0.0,0.13005348,0.37601733,0.12853341,0.0,0.12855761,0.0,0.0,0.0,0.0,0.0,0.08632065,0.06329755,0.12853341,0.0,0.0,0.18011388,0.12636752,0.0,0.0
Teicoplanin,0.0,0.028358812,0.0,0.0,0.027918005,0.028358812,0.027918005,0.027918005,0.0,0.006309274,0.0,0.024665466,0.0,0.0,0.3640999,0.0,0.018941635,0.0,0.0,0.070058405,0.003718271,0.0,0.027918005,0.0,0.0,0.0,0.0,0.0,0.022810092,0.016815623,0.027918005,0.0,0.18011388,0.0,0.0,0.0,0.0
Tetracycline,0.25818163,0.35956615,0.1103503,0.0,0.36004338,0.35956615,0.36004338,0.36004338,0.05137527,0.0,0.0,0.21999647,0.49264705,0.13658293,0.0,0.0,0.285223,0.022655036,0.09640442,0.10449372,0.18719518,0.07105414,0.36004338,0.21717316,0.03616183,0.09130302,0.0,0.02946438,0.30904457,0.11515296,0.36004338,0.15344307,0.12636752,0.0,0.0,0.0,0.25247577
Tigecycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobramycin,0.98431313,0.0,0.17994438,0.0,0.0,0.0,0.0,0.0,0.0063468083,0.0,0.0,0.106173515,0.0,0.0,0.0,0.0,0.21776257,0.26356694,0.1796053,0.6001277,0.0,0.0,0.0,0.047559485,0.09269112,0.375168,0.0,0.1,0.3628501,0.17994438,0.0,0.084895276,0.0,0.0,0.25247577,0.0,0.0
