,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefazolin,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Minocycline,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Ceftazidime,0.36951736,0.7031473,0.0,0.90459406,0.47636443,0.8685038,0.90755826,0.9125196,0.5292581,0.9072018,0.0,0.9135166,0.49198824,0.25131235,0.5871176,0.13916023,0.46225017,0.5753952,0.5016552,0.13399789,0.49857447,0.40949696,0.5591763,0.3730735,0.12187025,0.14593531,0.48321858,0.027751226,0.68138516,0.0,0.3017301,0.58336127
Ceftriaxone,0.42391345,0.6811428,0.03612059,0.0,0.0,0.8739601,0.0,0.0,0.23814483,0.9343954,0.9135166,0.0,0.87094367,0.0,0.6022624,0.13862959,0.46225017,0.5934658,0.3226662,0.13685241,0.5184927,0.21767953,0.56501776,0.25702792,0.0,0.125,0.5854428,0.0,0.6312331,0.0,0.0,0.66616243
Cefuroxime,0.25732076,0.74121296,0.02846127,0.5920191,0.934785,0.5575888,0.4453699,0.459838,0.41118455,0.0,0.49198824,0.87094367,0.0,0.046584748,0.5298622,0.097638026,0.33749527,0.7348741,0.3333457,0.08378325,0.3936133,0.21837823,0.4817568,0.19399978,0.23284036,0.1659171,0.57179636,0.019451343,0.75089604,0.0,0.21508221,0.4686581
Chloramphenicol,0.23007949,0.0,0.046367407,0.23714297,0.0,0.30452088,0.2758586,0.2892033,0.0,0.0,0.25131235,0.0,0.046584748,0.0,0.41978225,0.18228295,0.0,0.0,0.41965383,0.344931,0.26865065,0.4810463,0.44252348,0.5320182,0.0,0.0,0.0,0.047699664,0.0,0.0,0.23940475,0.241455
Ciprofloxacin,0.3869469,0.554002,0.0,0.7078505,0.29575282,0.6907387,0.64700955,0.63627326,0.37783644,0.5443705,0.5871176,0.6022624,0.5298622,0.41978225,0.0,0.14504053,0.6423297,0.64086163,0.44396636,0.21508537,0.55510074,0.26726198,0.9120704,0.24665897,0.1530235,0.26768634,0.8429478,0.038012125,0.54374796,0.0,0.31127107,0.6863361
Colistin,0.090532735,0.1246115,0.0,0.10249018,0.0,0.1327558,0.1680408,0.16036256,0.18607908,0.1448414,0.13916023,0.13862959,0.097638026,0.18228295,0.14504053,0.0,0.0,0.1439613,0.18638389,0.07993004,0.1210661,0.1780559,0.14942323,0.19744407,0.047232617,0.0909367,0.10989064,0.009889669,0.15034992,0.0,0.23202318,0.13355556
Cotrimoxazol,0.0,0.46256885,0.0,0.0,0.0,0.46225017,0.0,0.0,0.0,0.0,0.46225017,0.46225017,0.33749527,0.0,0.6423297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531085,0.0,0.39589974,0.0,0.0,0.0
Cotrimoxazole,0.36875114,0.50992686,0.0,0.0,0.0,0.57731426,0.0,0.0,0.0,0.52088124,0.5753952,0.5934658,0.7348741,0.0,0.64086163,0.1439613,0.0,0.0,0.14265707,0.12016598,0.45977935,0.08659469,0.6347294,0.15650883,0.0,0.48292202,0.57487136,0.0,0.4501115,0.0,0.0,0.5722841
Ertapenem,0.19131953,0.3317967,0.0,0.324958,0.33427897,0.49048182,0.5999363,0.6145169,0.62503964,0.30411348,0.5016552,0.3226662,0.3333457,0.41965383,0.44396636,0.18638389,0.0,0.14265707,0.0,0.19509834,0.43582645,0.6074996,0.46059892,0.56847304,0.09380674,0.23964177,0.37778455,0.0151495775,0.3801092,0.0,0.279024,0.4327693
Fosfomycin,0.10836521,0.062693566,0.0,0.16614419,0.10945986,0.20574369,0.13678141,0.14523812,0.23366618,0.0,0.13399789,0.13685241,0.08378325,0.344931,0.21508537,0.07993004,0.0,0.12016598,0.19509834,0.0,0.15199572,0.1336728,0.256458,0.13948795,0.055733453,0.13868077,0.20593095,0.012219253,0.16637811,0.0,0.07705704,0.18447314
Gentamicin,0.0522357,0.43067342,0.0,0.5812336,0.20588632,0.6155039,0.5575477,0.54784584,0.2730689,0.0,0.49857447,0.5184927,0.3936133,0.26865065,0.55510074,0.1210661,0.0,0.45977935,0.43582645,0.15199572,0.0,0.24976596,0.57108796,0.21548781,0.10267094,0.17167605,0.49383157,0.029563885,0.23241499,0.0,0.24842675,0.8008475
Imipenem,0.20092207,0.21505614,0.0,0.24681799,0.0,0.34728262,0.49625504,0.5104351,0.46250463,0.17375521,0.40949696,0.21767953,0.21837823,0.4810463,0.26726198,0.1780559,0.0,0.08659469,0.6074996,0.1336728,0.24976596,0.0,0.2838791,0.761246,0.08534682,0.1700457,0.22152741,0.015822425,0.25272802,0.0,0.27394196,0.26778728
Levofloxacin,0.39251778,0.53189486,0.0,0.6898722,0.0,0.69296646,0.6136499,0.6073966,0.23733717,0.5443705,0.5591763,0.56501776,0.4817568,0.44252348,0.9120704,0.14942323,0.0,0.6347294,0.46059892,0.256458,0.57108796,0.2838791,0.0,0.26821798,0.21394281,0.3797081,0.8021091,0.043981828,0.5188531,0.0,0.3444446,0.6969877
Meropenem,0.2190448,0.27294746,0.0,0.23659857,0.0,0.32986915,0.44605592,0.44517487,0.44935772,0.17486866,0.3730735,0.25702792,0.19399978,0.5320182,0.24665897,0.19744407,0.0,0.15650883,0.56847304,0.13948795,0.21548781,0.761246,0.26821798,0.0,0.06085063,0.19117303,0.19374081,0.013666908,0.31129658,0.0,0.28582677,0.23179674
Minocycline,0.058523532,0.0,0.0,0.09236583,0.0,0.10554401,0.0,0.061164565,0.16867708,0.0,0.12187025,0.0,0.23284036,0.0,0.1530235,0.047232617,0.0,0.0,0.09380674,0.055733453,0.10267094,0.08534682,0.21394281,0.06085063,0.0,0.02119339,0.1935178,0.03134502,0.0,0.0,0.0,0.13507226
Nitrofurantoin,0.106844164,0.1603313,0.0,0.17027724,0.19245009,0.22629175,0.21910012,0.15334815,0.16103327,0.0,0.14593531,0.125,0.1659171,0.0,0.26768634,0.0909367,0.0,0.48292202,0.23964177,0.13868077,0.17167605,0.1700457,0.3797081,0.19117303,0.02119339,0.0,0.29945925,0.02946751,0.06009942,0.0,0.1258719,0.20174679
Norfloxacin,0.32884493,0.56097513,0.0,0.638847,0.21410574,0.616584,0.5152312,0.4968051,0.38867125,0.5409339,0.48321858,0.5854428,0.57179636,0.0,0.8429478,0.10989064,0.531085,0.57487136,0.37778455,0.20593095,0.49383157,0.22152741,0.8021091,0.19374081,0.1935178,0.29945925,0.0,0.037555527,0.6110301,0.0,0.261959,0.6030574
Piperacillin,0.02106687,0.0,0.0,0.041677237,0.0,0.031919673,0.029087473,0.02600218,0.0,0.0,0.027751226,0.0,0.019451343,0.047699664,0.038012125,0.009889669,0.0,0.0,0.0151495775,0.012219253,0.029563885,0.015822425,0.043981828,0.013666908,0.03134502,0.02946751,0.037555527,0.0,0.0,0.0,0.016818196,0.03647892
Piperacillin-Tazobactam,0.36389434,0.84186614,0.0,0.0,0.0,0.65857804,0.0,0.0,0.586302,0.7013134,0.68138516,0.6312331,0.75089604,0.0,0.54374796,0.15034992,0.39589974,0.4501115,0.3801092,0.16637811,0.23241499,0.25272802,0.5188531,0.31129658,0.0,0.06009942,0.6110301,0.0,0.0,0.0,0.0,0.54774797
Ticarcillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tigecycline,0.26134723,0.0,0.0,0.2671395,0.0,0.27876505,0.28177196,0.27827838,0.0,0.0,0.3017301,0.0,0.21508221,0.23940475,0.31127107,0.23202318,0.0,0.0,0.279024,0.07705704,0.24842675,0.27394196,0.3444446,0.28582677,0.0,0.1258719,0.261959,0.016818196,0.0,0.0,0.0,0.30178168
Tobramycin,0.56488866,0.5888861,0.0,0.67299134,0.20588632,0.7108917,0.61760926,0.61626697,0.33007124,0.7088478,0.58336127,0.66616243,0.4686581,0.241455,0.6863361,0.13355556,0.0,0.5722841,0.4327693,0.18447314,0.8008475,0.26778728,0.6969877,0.23179674,0.13507226,0.20174679,0.6030574,0.03647892,0.54774797,0.0,0.30178168,0.0
