,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Ceftriaxone,0.34890264,0.3449395,0.37149078,0.0,0.6060155,0.0,0.0,1.0,0.9508251,0.6695149,0.0,0.7215685,0.0,0.20118663,0.2663977,0.12036267,0.24521944,0.033861168,0.09009375,0.0,0.35375658,0.41253376,0.0,0.22322556,0.0,0.24694312,0.0,0.0,0.5547002
Cefuroxime,0.1162269,0.594673,0.19920069,0.3692839,0.3952449,0.34746778,0.3692839,1.0,0.0,0.37114233,0.7215685,0.0,0.0,0.17084008,0.0,0.0,0.060008127,0.17236313,0.2423007,0.19084749,0.16394536,0.08453033,0.0,0.37067986,0.21102954,0.56011206,0.21282688,0.03489894,0.26523265
Chloramphenicol,0.1362539,0.0,0.66922265,0.10234055,0.10234055,0.10234055,0.10234055,0.0,0.0,0.10234055,0.0,0.0,0.0,0.38868597,0.0,0.0,0.0,0.09845283,0.3822897,0.0,0.38868597,0.0,0.0,0.0,0.63669276,0.0,0.63669276,0.0,0.34716505
Ciprofloxacin,0.09184027,0.29635483,0.36434537,0.38473696,0.280355,0.3805164,0.38636652,0.5533986,0.4134108,0.36409393,0.20118663,0.17084008,0.38868597,0.0,0.5606119,0.443357,0.027414113,0.35106108,0.38371345,0.08289839,0.9716622,0.0,0.0,0.9796639,0.37771612,0.04889622,0.36104476,0.032987732,0.43716174
Cotrimoxazol,0.0,0.2663977,0.8563488,0.0,0.0,0.0,0.0,0.2663977,0.0,0.26457512,0.2663977,0.0,0.0,0.5606119,0.0,0.0,0.0,0.0,0.47705996,0.04642071,0.0,0.0,0.0,0.5606119,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.024402484,0.28308445,0.5696138,0.0,0.09293712,0.0,0.0,0.0,0.26804802,0.13476062,0.12036267,0.0,0.0,0.443357,0.0,0.0,0.07928749,0.0,0.4776056,0.10416503,0.44815296,0.005943858,0.0,0.44250268,0.0,0.0046702586,0.0,0.0,0.302871
Ertapenem,0.13529257,0.17265019,0.051713135,0.1534605,0.21306443,0.15563369,0.15344585,0.0,0.0,0.19641247,0.24521944,0.060008127,0.0,0.027414113,0.0,0.07928749,0.0,0.05939633,0.09299263,0.014767681,0.028805608,0.7066951,0.0,0.06665719,0.05438625,0.0,0.05511208,0.0,0.053246215
Fosfomycin,0.062090874,0.0,0.18652353,0.3066159,0.3004866,0.2999627,0.30634043,0.4488328,0.0,0.27787092,0.033861168,0.17236313,0.09845283,0.35106108,0.0,0.0,0.05939633,0.0,0.13585111,0.0,0.3567414,0.0,0.0,0.3958746,0.22282235,0.0,0.2065273,0.034393296,0.20812474
Gentamicin,0.1330761,0.447633,0.4726373,0.4408862,0.4349295,0.4301017,0.4408862,0.4375,0.0,0.3693391,0.09009375,0.2423007,0.3822897,0.38371345,0.47705996,0.4776056,0.09299263,0.13585111,0.0,0.0,0.4070605,0.0,0.0,0.35454628,0.46992737,0.0,0.47732762,0.020087572,0.8452656
Imipenem,0.0,0.051914144,0.0,0.0,0.0,0.0,0.0,0.6105406,0.0,0.012239231,0.0,0.19084749,0.0,0.08289839,0.04642071,0.10416503,0.014767681,0.0,0.0,0.0,0.07186199,0.025247471,0.0,0.049976848,0.0,0.06743677,0.0,0.0,0.0
Levofloxacin,0.099040106,0.31515974,0.3561087,0.36921027,0.33675128,0.36442187,0.37090817,0.0,0.4134108,0.38042983,0.35375658,0.16394536,0.38868597,0.9716622,0.0,0.44815296,0.028805608,0.3567414,0.4070605,0.07186199,0.0,0.0,0.0,0.95436174,0.3623022,0.13969143,0.34483662,0.03142613,0.45334128
Meropenem,0.0,0.29464287,0.07285312,0.0,0.25788265,0.0,0.0,0.0,0.0,0.2381213,0.41253376,0.08453033,0.0,0.0,0.0,0.005943858,0.7066951,0.0,0.0,0.025247471,0.0,0.0,0.0,0.0,0.0,0.66411567,0.0,0.0,0.0
Nitrofurantoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfloxacin,0.09996771,0.38216358,0.4317137,0.38665444,0.2917101,0.36374158,0.38665444,0.5533986,0.4214349,0.3928371,0.22322556,0.37067986,0.0,0.9796639,0.5606119,0.44250268,0.06665719,0.3958746,0.35454628,0.049976848,0.95436174,0.0,0.0,0.0,0.47296175,0.0,0.4505236,0.040917393,0.4238372
Piperacillin,0.08869315,0.0,0.96551067,0.35446683,0.32904017,0.3335849,0.35446683,0.0,0.0,0.3444507,0.0,0.21102954,0.63669276,0.37771612,0.0,0.0,0.05438625,0.22282235,0.46992737,0.0,0.3623022,0.0,0.0,0.47296175,0.0,0.0,0.98682994,0.037680432,0.40916166
Piperacillin-Tazobactam,0.0,0.27325815,0.21098213,0.0,0.40346208,0.0,0.0,0.0,0.0,0.38715908,0.24694312,0.56011206,0.0,0.04889622,0.0,0.0046702586,0.0,0.0,0.0,0.06743677,0.13969143,0.66411567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ticarcillin,0.09144188,0.0,0.9527948,0.34345213,0.33343148,0.32228205,0.34345213,0.0,0.0,0.3167927,0.0,0.21282688,0.63669276,0.36104476,0.0,0.0,0.05511208,0.2065273,0.47732762,0.0,0.34483662,0.0,0.0,0.4505236,0.98682994,0.0,0.0,0.037126984,0.41616336
Tigecycline,0.009114139,0.0,0.03924592,0.007380285,0.0052123363,0.0073975506,0.0073975506,0.0,0.0,0.0073975506,0.0,0.03489894,0.0,0.032987732,0.0,0.0,0.0,0.034393296,0.020087572,0.0,0.03142613,0.0,0.0,0.040917393,0.037680432,0.0,0.037126984,0.0,0.018732755
Tobramycin,0.4227728,0.35159045,0.41620773,0.48320967,0.44040087,0.47208878,0.48306656,0.0,0.5936129,0.4574714,0.5547002,0.26523265,0.34716505,0.43716174,0.0,0.302871,0.053246215,0.20812474,0.8452656,0.0,0.45334128,0.0,0.0,0.4238372,0.40916166,0.0,0.41616336,0.018732755,0.0
