,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Ceftriaxone,0.38800928,0.34076306,0.36464527,0.0,0.87295824,0.0,0.0,0.3328599,0.89668953,0.875873,0.0,0.86425304,0.0,0.5119221,0.009117509,0.26266667,0.28492177,0.08030811,0.034117684,0.28891987,0.0,0.54645413,0.0,0.109039605,0.40768144,0.0,0.21972916,0.0,0.0,0.43459007
Cefuroxime,0.14479725,0.48543063,0.28930938,0.2370515,0.38902473,0.22590695,0.23919104,0.16387524,0.0,0.44878677,0.86425304,0.0,0.0,0.30971095,0.024497213,0.21503876,0.31112325,0.058491502,0.023465753,0.11778254,0.024035154,0.10552852,0.020332454,0.037843745,0.34532532,0.24012879,0.47969973,0.2392506,0.0,0.08585073
Chloramphenicol,0.0,0.0,0.20234726,0.044256825,0.014852284,0.042204197,0.042546563,0.0,0.0,0.042546563,0.0,0.0,0.0,0.1178553,0.0,0.0,0.0,0.0,0.09302034,0.16295958,0.0,0.09379187,0.0,0.0,0.0,0.20459451,0.0,0.20805073,0.0,0.083986975
Ciprofloxacin,0.33620253,0.31466135,0.36718255,0.5189147,0.49771613,0.49935493,0.5126665,0.17390324,0.5417349,0.48731652,0.5119221,0.30971095,0.1178553,0.0,0.041466035,0.37619084,0.2942663,0.119560204,0.19383845,0.34241346,0.04628847,0.97903293,0.04741186,0.09869548,0.9811372,0.38545692,0.24462548,0.37965068,0.0,0.42704177
Colistin,0.08503951,0.024521368,0.040618118,0.1025773,0.038216714,0.11117509,0.10252423,0.0,0.0,0.037229013,0.009117509,0.024497213,0.0,0.041466035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042895075,0.0,0.0,0.03244549,0.0408582,0.045268763,0.04239311,0.013452474,0.05224802
Cotrimoxazol,0.19238074,0.30072817,0.2855358,0.0,0.20189008,0.0,0.0,0.07963165,0.0,0.26266667,0.26266667,0.21503876,0.0,0.37619084,0.0,0.0,0.0,0.0,0.0,0.20495442,0.0,0.0,0.0,0.2349545,0.35315973,0.0,0.25564724,0.0,0.0,0.0
Cotrimoxazole,0.19230103,0.26057026,0.5261634,0.0,0.2525234,0.0,0.0,0.0,0.33146134,0.2380642,0.28492177,0.31112325,0.0,0.2942663,0.0,0.0,0.0,0.075941294,0.06401467,0.22784519,0.043382257,0.30568746,0.046152648,0.022250816,0.27783045,0.0,0.2088179,0.0,0.0,0.26893124
Ertapenem,0.052214924,0.15647456,0.078555815,0.12291805,0.12987602,0.116348766,0.10433348,0.0,0.12564039,0.119011045,0.08030811,0.058491502,0.0,0.119560204,0.0,0.0,0.075941294,0.0,0.0,0.092339836,0.35980085,0.12523052,0.36795425,0.0,0.0,0.082132965,0.27906618,0.08523286,0.02704049,0.053557303
Fosfomycin,0.14116287,0.057709187,0.1406193,0.21171011,0.1606881,0.19715297,0.21171011,0.0,0.0,0.15888397,0.034117684,0.023465753,0.09302034,0.19383845,0.0,0.0,0.06401467,0.0,0.0,0.023800075,0.0,0.22340678,0.0,0.008673159,0.18866563,0.16563633,0.10606789,0.16098532,0.0,0.12902641
Gentamicin,0.1136553,0.25809225,0.25267667,0.14338079,0.28057915,0.14075835,0.14193642,0.0,0.0,0.19528429,0.28891987,0.11778254,0.16295958,0.34241346,0.0,0.20495442,0.22784519,0.092339836,0.023800075,0.0,0.09352016,0.2082741,0.109821044,0.0,0.33994249,0.23478107,0.25843984,0.23741093,0.004674121,0.78451645
Imipenem,0.034188718,0.04975606,0.023586012,0.072473034,0.011258405,0.07854509,0.07243534,0.0,0.0,0.010639676,0.0,0.024035154,0.0,0.04628847,0.0,0.0,0.043382257,0.35980085,0.0,0.09352016,0.0,0.049113296,1.0,0.0,0.0,0.02886678,0.0968671,0.029950378,0.009504419,0.019019546
Levofloxacin,0.34822625,0.3241164,0.33464447,0.5235724,0.50768286,0.5019416,0.5174008,0.0,0.5425871,0.5096547,0.54645413,0.10552852,0.09379187,0.97903293,0.042895075,0.0,0.30568746,0.12523052,0.22340678,0.2082741,0.049113296,0.0,0.049108583,0.14199825,0.9801499,0.33093318,0.2262018,0.32477286,0.0,0.4147023
Meropenem,0.03370605,0.053570706,0.027514663,0.072473034,0.012045161,0.078526415,0.07241639,0.0,0.0,0.011599699,0.0,0.020332454,0.0,0.04741186,0.0,0.0,0.046152648,0.36795425,0.0,0.109821044,1.0,0.049108583,0.0,0.0,0.0,0.02886678,0.10186743,0.029899888,0.009504419,0.018954026
Nitrofurantoin,0.09806074,0.10547984,0.005362646,0.014932027,0.073260434,0.0,0.016188098,0.095311604,0.14621308,0.08795707,0.109039605,0.037843745,0.0,0.09869548,0.0,0.2349545,0.022250816,0.0,0.008673159,0.0,0.0,0.14199825,0.0,0.0,0.11232678,0.022271084,0.15643914,0.0,0.0,0.06759644
Norfloxacin,0.30728102,0.26223612,0.31480813,0.45932987,0.45295596,0.46642005,0.46118447,0.23704842,0.45176715,0.38347787,0.40768144,0.34532532,0.0,0.9811372,0.03244549,0.35315973,0.27783045,0.0,0.18866563,0.33994249,0.0,0.9801499,0.0,0.11232678,0.0,0.3856568,0.26075488,0.38835827,0.0,0.39471978
Piperacillin,0.1808751,0.0,0.9924205,0.3975434,0.3738249,0.38140672,0.39936438,0.0,0.0,0.39936438,0.0,0.24012879,0.20459451,0.38545692,0.0408582,0.0,0.0,0.082132965,0.16563633,0.23478107,0.02886678,0.33093318,0.02886678,0.022271084,0.3856568,0.0,0.0,1.0,0.0,0.30451044
Piperacillin-Tazobactam,0.1963015,0.5320906,0.2853803,0.0,0.2370019,0.0,0.0,0.28780183,0.2819546,0.23132917,0.21972916,0.47969973,0.0,0.24462548,0.045268763,0.25564724,0.2088179,0.27906618,0.10606789,0.25843984,0.0968671,0.2262018,0.10186743,0.15643914,0.26075488,0.0,0.0,0.0,0.0,0.20363463
Ticarcillin,0.18516093,0.0,0.992277,0.38140672,0.35675302,0.3819574,0.38388595,0.0,0.0,0.38388595,0.0,0.2392506,0.20805073,0.37965068,0.04239311,0.0,0.0,0.08523286,0.16098532,0.23741093,0.029950378,0.32477286,0.029899888,0.0,0.38835827,1.0,0.0,0.0,0.0,0.30906287
Tigecycline,0.026159609,0.0,0.0,0.0,0.0,0.012230212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013452474,0.0,0.0,0.02704049,0.0,0.004674121,0.009504419,0.0,0.009504419,0.0,0.0,0.0,0.0,0.0,0.0,0.01789514
Tobramycin,0.6972212,0.386097,0.30258667,0.34678432,0.4095547,0.36207598,0.3462556,0.0,0.37234163,0.35364622,0.43459007,0.08585073,0.083986975,0.42704177,0.05224802,0.0,0.26893124,0.053557303,0.12902641,0.78451645,0.019019546,0.4147023,0.018954026,0.06759644,0.39471978,0.30451044,0.20363463,0.30906287,0.01789514,0.0
