,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Benzylpenicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clarithromycin,Clindamycin,Cotrimoxazol,Cotrimoxazole,Daptomycin,Doxycycline,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Minocycline,Moxifloxacin,Mupirocin,Nitrofurantoin,Norfloxacin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Rifampicin,Teicoplanin,Tetracycline,Tigecycline,Tobramycin
Clarithromycin,0.0,0.42007592,0.0660625,0.0,0.0,0.0,0.0,0.0,0.0,0.17565507,0.0,0.93867934,0.0,0.0,0.0,0.13867505,0.0,0.0,0.04853025,0.097072534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42007592,0.0660625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clindamycin,0.10992698,0.20379712,0.0,0.056905676,0.20084175,0.20585328,0.20084175,0.20084175,0.0038898734,0.18970545,0.93867934,0.0,0.0,0.0011725684,0.0,0.0,0.8048284,0.0,0.048751377,0.14993514,0.23462193,0.16635744,0.20084175,0.0,0.0,0.0030337211,0.0,0.0,0.10629449,0.028736677,0.20107418,0.0,0.077221796,0.0,0.19624767,0.0,0.10331872
Cotrimoxazol,0.0,0.11048004,0.0,0.13555531,0.0,0.11048004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27133593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11048004,0.0,0.0,0.0,0.0,0.0,0.22841726,0.0,0.0
Cotrimoxazole,0.0,0.1562393,0.0506013,0.0,0.15850468,0.15850468,0.15850468,0.15850468,0.0,0.09743845,0.0,0.0011725684,0.0,0.0,0.0,0.0,0.0,0.0,0.03976965,0.19668552,0.15850468,0.0,0.15859383,0.0,0.0,0.0,0.0,0.0,0.12777244,0.07951832,0.15859383,0.0,0.13461865,0.0,0.1077176,0.0,0.0
Daptomycin,0.0,0.042814787,0.01708466,0.0,0.041557066,0.042750675,0.041557066,0.041557066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042029284,0.0,0.0010868969,0.015046659,0.041608393,0.0,0.0,0.0,0.0,0.0,0.04630284,0.040207457,0.041557066,0.0,0.0,0.2117321,0.0,0.0,0.0
Doxycycline,0.0,0.24131422,0.124273956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13867505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079535596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24131422,0.124273956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythromycin,0.24412927,0.2506486,0.0,0.030750165,0.252077,0.2506486,0.252077,0.252077,0.0,0.24610493,0.0,0.8048284,0.0,0.0,0.0,0.0,0.0,0.00944029,0.06874934,0.14256054,0.27121246,0.19162658,0.252077,0.0,0.0,0.08286865,0.0,0.0,0.21253908,0.06470112,0.252077,0.0,0.10813837,0.019042522,0.25332657,0.0,0.24468333
Fosfomycin,0.1666273,0.0,0.0,0.06610248,0.0,0.0,0.0,0.0,0.0,0.040600643,0.0,0.0,0.0,0.0,0.0,0.0,0.00944029,0.0,0.28812906,0.032773763,0.0,0.04024974,0.0,0.0,0.0,0.007216424,0.0,0.030414954,0.2094412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642315
Fusidic acid,0.12981986,0.15719397,0.0670502,0.050607402,0.16144006,0.15759948,0.16144006,0.16144006,0.0,0.20098777,0.04853025,0.048751377,0.0,0.03976965,0.0042029284,0.079535596,0.06874934,0.28812906,0.0,0.06863364,0.25583896,0.64162785,0.16158834,0.0,0.0,0.15764835,0.0,0.0,0.15938139,0.07589014,0.16158834,0.0,0.051366832,0.0,0.07541606,0.0,0.12981986
Gentamicin,0.6276602,0.24506354,0.11059576,0.016121695,0.24416731,0.24874921,0.24416731,0.24416731,0.0,0.118088216,0.097072534,0.14993514,0.27133593,0.19668552,0.0,0.0,0.14256054,0.032773763,0.06863364,0.0,0.16621788,0.07367615,0.24416731,0.0,0.0,0.0,0.0,0.050878312,0.18491091,0.08348244,0.24424732,0.0,0.14608125,0.0,0.061666787,0.0,0.62103766
Imipenem,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.013590401,0.72161436,0.0,0.23462193,0.0,0.15850468,0.0010868969,0.0,0.27121246,0.0,0.25583896,0.16621788,0.0,0.18522033,1.0,0.007745347,0.0,0.12655991,0.0,0.0,0.55052835,0.24940416,1.0,0.0,0.075257935,0.003249556,0.1618297,0.0,0.0
Levofloxacin,0.0,0.38698572,0.0,0.0,0.0,0.38698572,0.0,0.0,0.0,1.0,0.0,0.16635744,0.0,0.0,0.015046659,0.0,0.19162658,0.04024974,0.64162785,0.07367615,0.18522033,0.0,0.0,0.0,0.0,0.083575845,0.0,0.0,0.1525088,0.0,0.0,0.0,0.0,0.0,0.011674085,0.0,0.0
Meropenem,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.37722608,0.0,0.20084175,0.0,0.15859383,0.041608393,0.0,0.252077,0.0,0.16158834,0.24416731,1.0,0.0,0.0,0.0,0.0,0.089596555,0.0,0.0,0.99138933,0.30645123,1.0,0.0,0.07527404,0.02784301,0.3756859,0.0,0.0
Minocycline,0.0,0.0,0.017167406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007745347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017257737,0.0,0.0,0.0,0.0,0.1964703,0.0,0.0
Moxifloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mupirocin,0.2060829,0.077589266,0.109067194,0.06610248,0.089596555,0.0791705,0.089596555,0.089596555,0.07923206,0.16305213,0.0,0.0030337211,0.0,0.0,0.0,0.0,0.08286865,0.007216424,0.15764835,0.0,0.12655991,0.083575845,0.089596555,0.0,0.0,0.0,0.0,0.014808722,0.09888238,0.07528688,0.089596555,0.0,0.0,0.0,0.025861459,0.0,0.21992569
Nitrofurantoin,0.0,0.0,0.1226698,0.0,0.0,0.0,0.0,0.0,0.0,0.3291795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2009206,0.0,0.1226698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfloxacin,0.065232806,0.42365927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030414954,0.0,0.050878312,0.0,0.0,0.0,0.0,0.0,0.014808722,0.2009206,0.0,0.24635826,0.0,0.0,0.0,0.0,0.0,0.030414954,0.0,0.065232806
Oxacillin,0.41252553,0.992355,0.211416,0.22843985,0.99138623,0.9918204,0.99138623,0.99138623,0.0,0.21457306,0.42007592,0.10629449,0.11048004,0.12777244,0.04630284,0.24131422,0.21253908,0.2094412,0.15938139,0.18491091,0.55052835,0.1525088,0.99138933,0.0,0.0,0.09888238,0.0,0.24635826,0.0,0.26736587,0.99138933,0.0,0.057708282,0.022937253,0.31484836,0.0,0.425359
Penicillin,0.18972404,0.2800787,0.9967955,0.0,0.30645123,0.30645123,0.30645123,0.30645123,0.02969501,0.15560085,0.0660625,0.028736677,0.0,0.07951832,0.040207457,0.124273956,0.06470112,0.0,0.07589014,0.08348244,0.24940416,0.0,0.30645123,0.017257737,0.0,0.07528688,0.1226698,0.0,0.26736587,0.0,0.3058765,0.0,0.018277448,0.017145352,0.11074737,0.0,0.19193855
Piperacillin-Tazobactam,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.38056546,0.0,0.20107418,0.0,0.15859383,0.041557066,0.0,0.252077,0.0,0.16158834,0.24424732,1.0,0.0,1.0,0.0,0.0,0.089596555,0.0,0.0,0.99138933,0.3058765,0.0,0.0,0.07527404,0.02784301,0.3756859,0.0,0.0
Pristinamycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rifampicin,0.0,0.066181295,0.038191643,0.0,0.075241804,0.07514702,0.075241804,0.075241804,0.0,0.06906266,0.0,0.077221796,0.0,0.13461865,0.0,0.0,0.10813837,0.0,0.051366832,0.14608125,0.075257935,0.0,0.07527404,0.0,0.0,0.0,0.0,0.0,0.057708282,0.018277448,0.07527404,0.0,0.0,0.0,0.060924344,0.0,0.0
Teicoplanin,0.0,0.02817373,0.0,0.0,0.02784301,0.02817373,0.02784301,0.02784301,0.0,0.005502014,0.0,0.0,0.0,0.0,0.2117321,0.0,0.019042522,0.0,0.0,0.0,0.003249556,0.0,0.02784301,0.0,0.0,0.0,0.0,0.0,0.022937253,0.017145352,0.02784301,0.0,0.0,0.0,0.0,0.0,0.0
Tetracycline,0.20982711,0.36835742,0.045565855,0.048157133,0.3756859,0.36835742,0.3756859,0.3756859,0.0,0.0,0.0,0.19624767,0.22841726,0.1077176,0.0,0.0,0.25332657,0.0,0.07541606,0.061666787,0.1618297,0.011674085,0.3756859,0.1964703,0.0,0.025861459,0.0,0.030414954,0.31484836,0.11074737,0.3756859,0.0,0.060924344,0.0,0.0,0.088946395,0.22777662
Tigecycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088946395,0.0,0.0
Tobramycin,0.9894488,0.0,0.19083253,0.0,0.0,0.0,0.0,0.0,0.029932104,0.0,0.0,0.10331872,0.0,0.0,0.0,0.0,0.24468333,0.1642315,0.12981986,0.62103766,0.0,0.0,0.0,0.0,0.0,0.21992569,0.0,0.065232806,0.425359,0.19193855,0.0,0.0,0.0,0.0,0.22777662,0.0,0.0
