,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Tigecycline,Tobramycin
Colistin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.0,0.061481643,0.0,0.06968813,0.0,0.0,0.13436185,0.0,0.0,0.0,0.0,0.0,0.0,0.17382573,0.0,0.19541441,0.0,0.0,0.0,0.0
Ertapenem,0.0,0.0,0.29369974,0.44305336,0.24739522,0.52422243,0.0,0.44305336,0.0,0.12595114,1.0,0.19599184,0.0,0.0,0.0,0.0,0.27288294,0.70628977,0.22853328,0.0,0.0,0.0,0.0,0.0,0.34928444
Fosfomycin,0.0,0.0,0.0,0.0,0.058114473,0.021521244,0.0,0.0,0.018970346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06454123
Gentamicin,0.0,0.19355536,0.41856158,0.56140995,0.74701786,0.74708736,0.0,0.56292355,0.0,0.11192115,0.48214287,0.11460112,0.0,0.0,0.27288294,0.0,0.0,0.4423787,0.19620986,0.35669616,0.121797346,0.0,0.0,0.0,1.0
Imipenem,0.0,0.0,0.2130722,0.33048427,0.40032038,0.4003815,0.0,0.3304782,0.0,0.091629334,0.7007649,0.0,0.0,0.0,0.70628977,0.0,0.4423787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57595736
Levofloxacin,0.0,0.14652234,0.25737134,0.219757,0.12981986,0.33751035,0.2781362,0.219757,0.2932462,0.041362807,0.4814815,0.8628356,0.0,0.17382573,0.22853328,0.0,0.19620986,0.0,0.0,0.5694948,0.7293968,0.0,0.16405894,0.49391457,0.15466304
Nitrofurantoin,0.0,0.35696474,0.3361751,0.293643,0.5693864,1.0,0.0,0.2901905,0.30515146,0.16278765,0.0,0.0,0.0,0.0,0.0,0.0,0.35669616,0.0,0.5694948,0.0,0.03824191,0.0,0.0,0.0,1.0
Norfloxacin,0.0,0.17884779,0.0053167427,0.14525194,0.11021149,0.21090807,0.2781362,0.14702345,0.32582474,0.113110065,0.0,0.86061835,0.0,0.19541441,0.0,0.0,0.121797346,0.0,0.7293968,0.03824191,0.0,0.0,0.20946625,0.0,0.19684975
Piperacillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piperacillin-Tazobactam,0.0,0.95373243,0.0,0.28730336,0.0,0.0,0.7783886,0.28725857,0.8102201,0.83630955,0.0,0.14464624,0.0,0.0,0.0,0.0,0.0,0.0,0.16405894,0.0,0.20946625,0.0,0.0,0.0,0.0
Tigecycline,0.0,0.0,0.23464766,0.0,0.0,0.0,0.0,0.0,0.0,0.089791335,0.0,0.3687068,0.0,0.0,0.0,0.0,0.0,0.0,0.49391457,0.0,0.0,0.0,0.0,0.0,0.0
Tobramycin,0.0,0.0,0.41856158,0.662609,0.74701786,0.74708736,0.0,0.662609,0.0,0.17477113,0.48214287,0.13019308,0.0,0.0,0.34928444,0.06454123,1.0,0.57595736,0.15466304,1.0,0.19684975,0.0,0.0,0.0,0.0
