,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Benzylpenicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clindamycin,Cotrimoxazol,Cotrimoxazole,Daptomycin,Doxycycline,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Linezolid,Meropenem,Minocycline,Moxifloxacin,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Rifampicin,Teicoplanin,Tetracycline,Tigecycline,Tobramycin,Vancomycin
Fosfomycin,0.12864773,0.034914915,0.0625,0.021124141,0.0,0.034914915,0.0,0.0,0.0,0.05201748,0.0506105,0.0,0.0,0.0,0.0,0.03106067,0.0,0.12734291,0.15550429,0.0389659,0.049661733,0.0,0.0,0.22878627,0.0,0.010302028,0.124579124,0.019669382,0.0,0.0046051145,0.18159916,0.0,0.0,0.0,0.12067314,0.0
Fusidic acid,0.0,0.23585571,0.0,0.102184966,0.21878956,0.23830415,0.21878956,0.21878956,0.039516896,0.2838491,0.14541271,0.35445878,0.17197545,0.0,0.0,0.06730538,0.12734291,0.0,0.27554536,0.2396052,0.65225226,0.07002559,0.21878956,0.0,0.70156074,0.34611937,0.21798721,0.07876252,0.21878956,0.0,0.13814926,0.0,0.0760401,0.0,0.0,0.0
Gentamicin,0.83439314,0.51200235,0.26292202,0.07647191,0.5136958,0.5179413,0.5136958,0.5136958,0.23471312,0.65616965,0.5399108,0.4107143,0.6196267,0.0,0.0,0.25203207,0.15550429,0.27554536,0.0,0.46742436,0.3887824,0.09411884,0.5136958,0.04942998,0.2832206,0.31891286,0.52493095,0.0721049,0.5136958,0.20792246,0.24560267,0.17012118,0.346234,0.015617011,0.8601823,0.023351254
Imipenem,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6074309,0.41254753,0.0,0.3667427,0.0,0.0,0.25223503,0.0389659,0.2396052,0.46742436,0.0,0.0,0.051541697,1.0,0.009030341,0.2750293,0.28469554,0.9029451,0.10887517,1.0,0.03773393,0.17265984,0.06766008,0.25756755,0.0,0.0,0.012826235
Levofloxacin,0.0,0.6690574,0.0,0.1028689,0.0,0.6690574,0.0,0.0,0.0,1.0,0.2772003,0.5899249,0.0,0.0187993,0.0,0.38072768,0.049661733,0.65225226,0.3887824,0.0,0.0,0.07494257,0.0,0.0,0.0,0.2696084,0.32547942,0.0,0.0,0.0,0.16547191,0.009753255,0.101762764,0.0,0.0,0.0
Linezolid,0.17759839,0.015240646,0.058280386,0.0,0.015355879,0.015240646,0.015355879,0.015355879,0.7968797,0.066514604,0.07477196,0.0,0.033342287,0.0,0.0,0.033438366,0.0,0.07002559,0.09411884,0.051541697,0.07494257,0.0,0.015355879,0.0,0.032921348,0.01717084,0.056884658,0.00657439,0.015355879,0.08065831,0.07498771,0.0,0.0,0.0,0.1708471,0.0
Meropenem,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5877058,0.4541959,0.0,0.3667427,0.0,0.0,0.2604407,0.0,0.21878956,0.5136958,1.0,0.0,0.015355879,0.0,0.0,0.0,0.6695341,1.0,0.11669221,1.0,0.0,0.17265984,0.36128142,0.37078366,0.0,0.0,0.015344313
Minocycline,0.044702955,0.0,0.014678923,0.0,0.0,0.0,0.0,0.0,0.21623524,0.0,0.049092878,0.0,0.0,0.0,0.0,0.03565851,0.22878627,0.0,0.04942998,0.009030341,0.0,0.0,0.0,0.0,0.0,0.0,0.03803629,0.0046296297,0.0,0.24351661,0.0,0.0,0.13725491,0.0,0.043003604,0.0
Moxifloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70156074,0.2832206,0.2750293,0.0,0.032921348,0.0,0.0,0.0,0.0,0.25222087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mupirocin,0.3361286,0.20249763,0.18754019,0.012048192,0.6695341,0.20249763,0.6695341,0.6695341,0.0,0.32774776,0.3418877,0.0,0.5584156,0.0,0.0,0.35654232,0.010302028,0.34611937,0.31891286,0.28469554,0.2696084,0.01717084,0.6695341,0.0,0.0,0.0,0.35597456,0.20751435,0.6695341,0.005865517,0.26686677,0.12726563,0.0,0.0,0.3339447,0.0
Oxacillin,0.658309,1.0,0.3677369,0.124273956,1.0,1.0,1.0,1.0,0.15375133,0.5125971,0.47581398,0.5613414,0.34092304,0.013536701,0.0,0.29575863,0.124579124,0.21798721,0.52493095,0.9029451,0.32547942,0.056884658,1.0,0.03803629,0.25222087,0.35597456,0.0,0.123551495,1.0,0.1639986,0.17877959,0.18687613,0.32932094,0.0,0.692357,0.013591727
Penicillin,0.15407288,0.11530758,0.0,0.0,0.11669221,0.11669221,0.11669221,0.11669221,0.021493543,0.07874797,0.064701624,0.0,0.054386646,0.0,0.0,0.084748656,0.019669382,0.07876252,0.0721049,0.10887517,0.0,0.00657439,0.11669221,0.0046296297,0.0,0.20751435,0.123551495,0.0,0.11669221,0.019669382,0.022755094,0.060359143,0.08032246,0.0039137737,0.16889064,0.0016296244
Piperacillin-Tazobactam,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5877058,0.4541959,0.0,0.3667427,0.0,0.0,0.2604407,0.0,0.21878956,0.5136958,1.0,0.0,0.015355879,1.0,0.0,0.0,0.6695341,1.0,0.11669221,0.0,0.0,0.17265984,0.36128142,0.37078366,0.0,0.0,0.015344313
Pristinamycin,0.088167146,0.0,0.060301464,0.0,0.0,0.0,0.0,0.0,0.11383181,0.0,0.20798524,0.0,0.0,0.0,0.0,0.1120017,0.0046051145,0.0,0.20792246,0.03773393,0.0,0.08065831,0.0,0.24351661,0.0,0.005865517,0.1639986,0.019669382,0.0,0.0,0.0,0.0,0.0,0.0,0.17678025,0.0
Rifampicin,0.0,0.17440175,0.0,0.016936993,0.17265984,0.17322989,0.17265984,0.17265984,0.0,0.25670215,0.063389726,0.22086306,0.20710887,0.0,0.0,0.0,0.18159916,0.13814926,0.24560267,0.17265984,0.16547191,0.07498771,0.17265984,0.0,0.0,0.26686677,0.17877959,0.022755094,0.17265984,0.0,0.0,0.14118734,0.1808256,0.0,0.0,0.0
Teicoplanin,0.09071178,0.3613334,0.029724231,0.0,0.36128142,0.3613334,0.36128142,0.36128142,0.08478214,0.066689424,0.07764115,0.0,0.27407557,0.0,0.0,0.0753851,0.0,0.0,0.17012118,0.06766008,0.009753255,0.0,0.36128142,0.0,0.0,0.12726563,0.18687613,0.060359143,0.36128142,0.0,0.14118734,0.0,0.29085678,0.0,0.08725033,0.13408722
Tetracycline,0.11737382,0.3784694,0.0,0.061683968,0.37078366,0.3784694,0.37078366,0.37078366,0.035076324,0.17900191,0.2181593,0.2735802,0.2857357,0.0,0.0,0.18576698,0.0,0.0760401,0.346234,0.25756755,0.101762764,0.0,0.37078366,0.13725491,0.0,0.0,0.32932094,0.08032246,0.37078366,0.0,0.1808256,0.29085678,0.0,0.047452845,0.10267393,0.02215618
Tigecycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057716216,0.0,0.0,0.0,0.0,0.0,0.015617011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039137737,0.0,0.0,0.0,0.0,0.047452845,0.0,0.0,0.0
Tobramycin,0.96198565,0.0,0.32351807,0.0,0.0,0.0,0.0,0.0,0.19914368,0.0,0.6152814,0.0,0.0,0.0,0.0,0.40681586,0.12067314,0.0,0.8601823,0.0,0.0,0.1708471,0.0,0.043003604,0.0,0.3339447,0.692357,0.16889064,0.0,0.17678025,0.0,0.08725033,0.10267393,0.0,0.0,0.0
Vancomycin,0.0,0.015314056,0.0,0.0,0.015344313,0.015230077,0.015344313,0.015344313,0.0,0.015861442,0.02139391,0.0,0.031751115,0.0,0.0,0.016950492,0.0,0.0,0.023351254,0.012826235,0.0,0.0,0.015344313,0.0,0.0,0.0,0.013591727,0.0016296244,0.015344313,0.0,0.0,0.13408722,0.02215618,0.0,0.0,0.0
